CINC	CREN	CMAL	CSCH	JG5-1
g808	Cre16.g650750			
g811	Cre16.g650950			
g812	Cre16.g651000			
g813	Cre16.g651050			
g819	Cre16.g651400			
g821	Cre16.g651500			
g822	Cre16.g651550			
g824	Cre16.g651750			
g826	Cre16.g651923			
g830	Cre16.g652050			
g831	Cre16.g652100			
g835	Cre16.g652200			
g840	Cre16.g652450			
g843	Cre16.g652550			
g844	Cre16.g652600			
g845	Cre16.g652650			
g848	Cre16.g652800			
g849	Cre16.g652850			
g855	Cre16.g653150			
g857	Cre16.g653258			
g860	Cre16.g653350			
g862	Cre16.g653450			
g864	Cre16.g653550			
g865	Cre16.g653601			
g866	Cre16.g653650			
g867	Cre16.g653700			
g871	Cre16.g653850			
g873	Cre16.g654150			
g874	Cre16.g654250			
g879	Cre16.g654500			
g885	Cre16.g654900			
g891	Cre16.g655100			
g892	Cre16.g655150			
g893	Cre16.g655200			
g896	Cre16.g655430			
g897	Cre16.g655450			
g901	Cre16.g655600			
g903	Cre16.g655750			
g905	Cre16.g655900			
g906	Cre16.g655950			
g910	Cre16.g656000			
g911	Cre16.g656050			
g912	Cre16.g656100			
g913	Cre16.g656150			
g915	Cre16.g656250			
g916	Cre16.g656300			
g918	Cre16.g656350			
g919	Cre16.g656400			
g920	Cre16.g656500			
g921	Cre16.g656551			
g922	Cre16.g656600			
g923	Cre16.g656650			
g924	Cre16.g656700			
g928	Cre16.g656900			
g929	Cre16.g656950			
g930	Cre16.g657000			
g931	Cre16.g657050			
g933	Cre16.g657150			
g934	Cre16.g657200			
g935	Cre16.g657250			
g936	Cre16.g657300			
g937	Cre16.g657350			
g938	Cre16.g657400			
g939	Cre16.g657450			
g941	Cre16.g657550			
g943	Cre16.g657650			
g945	Cre16.g657750			
g946	Cre16.g657800			
g947	Cre16.g657850			
g950	Cre16.g657950			
g952	Cre16.g801897			
g954	Cre04.g217908			
g956	Cre16.g658000			
g958	Cre16.g801904			
g963	Cre16.g658400			
g966	Cre16.g658600			
g967	Cre16.g658650			
g968	Cre16.g658700			
g970	Cre16.g658800			
g971	Cre16.g658850			
g972	Cre16.g801909			
g978	Cre16.g659100			
g980	Cre16.g659200			
g981	Cre16.g659250			
g982	Cre16.g659350			
g983	Cre16.g659400			
g989	Cre16.g659700			
g990	Cre16.g659750			
g991	Cre16.g659800			
g992	Cre16.g659850			
g993	Cre16.g659900			
g994	Cre16.g659950			
g995	Cre16.g660000			
g997	Cre16.g660050			
g1000	Cre16.g660225			
g1007	Cre16.g660601			
g1012	Cre16.g660800			
g1013	Cre10.g420000			
g1015	Cre16.g660900			
g1016	Cre16.g660951			
g1017	Cre16.g661100			
g1018	Cre16.g661150			
g1022	Cre16.g661350			
g1025	Cre16.g661500			
g1026	Cre16.g661550			
g1029	Cre16.g661700			
g1032	Cre16.g661750			
g1035	Cre16.g662000			
g1037	Cre16.g662150			
g1038	Cre16.g662200			
g1039	Cre16.g662250			
g1040	Cre16.g662300			
g1044	Cre16.g662550			
g1045	Cre16.g662600			
g1046	Cre16.g662650			
g1047	Cre16.g801920			
g1049	Cre16.g662800			
g1050	Cre16.g662902			
g1051	Cre16.g662950			
g1052	Cre16.g663000			
g1053	Cre16.g663050			
g1054	Cre16.g663100			
g1055	Cre16.g663150			
g1056	Cre16.g663200			
g1058	Cre16.g663350			
g1059	Cre16.g663400			
g1062	Cre16.g663600			
g1063	Cre16.g663650			
g1064	Cre16.g663700			
g1066	Cre16.g663800			
g1067	Cre16.g663850			
g1068	Cre16.g663876			
g1069	Cre16.g663900			
g1070	Cre16.g663950			
g1071	Cre16.g664000			
g1072	Cre16.g664050			
g1073	Cre16.g664100			
g1074	Cre16.g664150			
g1075	Cre16.g664200			
g1076	Cre16.g664250			
g1079	Cre16.g664350			
g1080	Cre16.g664400			
g1082	Cre16.g664500			
g1083	Cre16.g664550			
g1085	Cre16.g664600			
g1086	Cre16.g664700			
g1088	Cre16.g664801			
g1089	Cre16.g664850			
g1093	Cre16.g665000			
g1094	Cre16.g665050			
g1095	Cre16.g665100			
g1096	Cre16.g665200			
g1097	Cre16.g665250			
g1098	Cre16.g665300			
g1099	Cre16.g665364			
g1100	Cre16.g665400			
g1101	Cre16.g665450			
g1102	Cre16.g665500			
g1103	Cre16.g665550			
g1104	Cre16.g665600			
g1105	Cre16.g665650			
g1106	Cre16.g665700			
g1107	Cre16.g665750			
g1108	Cre16.g665800			
g1109	Cre16.g665850			
g1110	Cre16.g665950			
g1111	Cre16.g666000			
g1112	Cre16.g666050			
g1113	Cre16.g666100			
g1114	Cre16.g666150			
g1115	Cre16.g666200			
g1116	Cre16.g666250			
g1119	Cre16.g666300			
g1120	Cre16.g666334			
g1121	Cre16.g666400			
g1123	Cre16.g666500			
g1125	Cre16.g666550			
g1149	Cre14.g612700			
g1151	Cre14.g612800			
g1155	Cre14.g613050			
g1159	Cre14.g613200			
g1162	Cre14.g613400			
g1163	Cre14.g613350			
g1167	Cre14.g613300			
g1172	Cre14.g613450			
g1174	Cre14.g613550			
g1184	Cre05.g248500			
g1185	Cre05.g248401			
g1187	Cre05.g248300			
g1188	Cre05.g248250			
g1192	Cre05.g248200			
g1193	Cre05.g248150			
g1194	Cre05.g248100			
g1197	Cre05.g247950			
g1201	Cre05.g247851			
g1204	Cre05.g247600			
g1205	Cre05.g247550			
g1212	Cre05.g247300			
g1221	Cre05.g247050			
g1222	Cre05.g247100			
g1223	Cre05.g247150			
g1225	Cre05.g246900			
g1226	Cre05.g246850			
g1227	Cre05.g246800			
g1235	Cre05.g246650			
g1236	Cre05.g246550			
g1238	Cre05.g246552			
g1239	Cre05.g246400			
g1240	Cre05.g246377			
g1252	Cre05.g246000			
g1253	Cre05.g245950			
g1254	Cre05.g245900			
g1256	Cre05.g245701			
g1263	Cre05.g245451			
g1265	Cre05.g245351			
g1267	Cre05.g245150			
g1270	Cre05.g245102			
g1271	Cre05.g244950			
g1272	Cre05.g244900			
g1273	Cre05.g244850			
g1274	Cre05.g244800			
g1279	Cre05.g244400			
g1280	Cre05.g244350			
g1282	Cre05.g244250			
g1283	Cre05.g244236			
g1284	Cre05.g244200			
g1288	Cre05.g243950			
g1291	Cre05.g243800			
g1299	Cre05.g243450			
g1300	Cre05.g243451			
g1308	Cre05.g800513			
g1313	Cre05.g800511			
g1317	Cre05.g243050			
g1319	Cre05.g242950			
g1322	Cre05.g242856			
g1327	Cre05.g242550			
g1328	Cre05.g242500			
g1331	Cre05.g242400			
g1334	Cre05.g242350			
g1335	Cre05.g242300			
g1343	Cre05.g242000			
g1344	Cre05.g241950			
g1346	Cre05.g241850			
g1347	Cre05.g241750			
g1349	Cre05.g241650			
g1354	Cre13.g592551			
g1357	Cre13.g592500			
g1358	Cre13.g592450			
g1360	Cre13.g592350			
g1361	Cre13.g592300			
g1363	Cre13.g592200			
g1364	Cre13.g592150			
g1366	Cre13.g592050			
g1368	Cre13.g591951			
g1369	Cre13.g591900			
g1370	Cre13.g591851			
g1371	Cre13.g591800			
g1373	Cre13.g591700			
g1374	Cre13.g591650			
g1377	Cre13.g591501			
g1379	Cre13.g591450			
g1380	Cre16.g691754			
g1382	Cre10.g430600			
g1384	Cre06.g800723			
g1390	Cre13.g591250			
g1394	Cre13.g590900			
g1398	Cre13.g591000			
g1406	Cre13.g590600			
g1408	Cre13.g590500			
g1409	Cre13.g590400			
g1410	Cre13.g590350			
g1417	Cre13.g589700			
g1419	Cre13.g589600			
g1422	Cre13.g589450			
g1424	Cre13.g589400			
g1427	Cre13.g589250			
g1432	Cre13.g589100			
g1433	Cre13.g589050			
g1436	Cre13.g588950			
g1439	Cre13.g588850			
g1440	Cre13.g588800			
g1442	Cre13.g588700			
g1443	Cre13.g588650			
g1446	Cre13.g588550			
g1448	Cre13.g588350			
g1449	Cre13.g588310			
g1453	Cre13.g588150			
g1454	Cre13.g588100			
g1456	Cre13.g588000			
g1459	Cre13.g587750			
g1463	Cre13.g587550			
g1465	Cre13.g587500			
g1466	Cre13.g587450			
g1468	Cre13.g587350			
g1472	Cre13.g587200			
g1473	Cre13.g587150			
g1474	Cre13.g587100			
g1476	Cre13.g587050			
g1477	Cre13.g587000			
g1484	Cre13.g586700			
g1485	Cre13.g586650			
g1486	Cre13.g586600			
g1487	Cre13.g586550			
g1488	Cre13.g586500			
g1489	Cre13.g586450			
g1491	Cre13.g586400			
g1492	Cre13.g586350			
g1493	Cre13.g586300			
g1494	Cre13.g586250			
g1495	Cre13.g586200			
g1499	Cre13.g586000			
g1500	Cre13.g586050			
g1502	Cre13.g585900			
g1503	Cre13.g585850			
g1504	Cre13.g585800			
g1510	Cre13.g801550			
g1512	Cre13.g585550			
g1513	Cre13.g585500			
g1516	Cre13.g585350			
g1517	Cre13.g585301			
g1518	Cre13.g585250			
g1519	Cre13.g585150			
g1520	Cre13.g585100			
g1521	Cre13.g585050			
g1523	Cre13.g584950			
g1524	Cre13.g584901			
g1525	Cre13.g584850			
g1527	Cre13.g584750			
g1528	Cre13.g584700			
g1532	Cre13.g584500			
g1535	Cre13.g584400			
g1537	Cre13.g801543			
g1538	Cre13.g584250			
g1539	Cre13.g584200			
g1540	Cre13.g584100			
g1543	Cre13.g583750			
g1546	Cre13.g583600			
g1547	Cre13.g583550			
g1548	Cre06.g252150			
g1551	Cre13.g583450			
g1555	Cre13.g583250			
g1565	Cre13.g582800			
g1566	Cre13.g582650			
g1568	Cre13.g582476			
g1569	Cre13.g582350			
g1572	Cre13.g582250			
g1573	Cre13.g582201			
g1574	Cre13.g581900			
g1575	Cre13.g581850			
g1587	Cre13.g581750			
g1588	Cre13.g581700			
g1590	Cre13.g581650			
g1591	Cre13.g581600			
g1592	Cre13.g581550			
g1595	Cre13.g581450			
g1599	Cre13.g581400			
g1602	Cre10.g443050			
g1603	Cre13.g581200			
g1605	Cre13.g801535			
g1606	Cre13.g581050			
g1608	Cre13.g580900			
g1609	Cre13.g580850			
g1611	Cre13.g580700			
g1615	Cre13.g580550			
g1616	Cre13.g580500			
g1619	Cre13.g580350			
g1620	Cre13.g580300			
g1622	Cre13.g580200			
g1623	Cre13.g580150			
g1624	Cre13.g580050			
g1625	Cre13.g580000			
g1626	Cre13.g579950			
g1627	Cre13.g579901			
g1628	Cre13.g579850			
g1629	Cre13.g579800			
g1630	Cre13.g579734			
g1635	Cre13.g579598			
g1636	Cre13.g579550			
g1640	Cre13.g801529			
g1641	Cre13.g579450			
g1654	Cre13.g578800			
g1656	Cre13.g578750			
g1658	Cre13.g578650			
g1663	Cre13.g578451			
g1666	Cre13.g578150			
g1671	Cre13.g578050			
g1672	Cre13.g801527			
g1673	Cre13.g577950			
g1675	Cre13.g577850			
g1679	Cre13.g577500			
g1683	Cre13.g577450			
g1684	Cre13.g577400			
g1687	Cre13.g577250			
g1688	Cre13.g577100			
g1689	Cre13.g577050			
g1691	Cre13.g576950			
g1692	Cre13.g576850			
g1693	Cre13.g576800			
g1694	Cre13.g576760			
g1696	Cre13.g576650			
g1700	Cre13.g576400			
g1702	Cre13.g576300			
g1704	Cre13.g576200			
g1713	Cre13.g576000			
g1716	Cre13.g575900			
g1717	Cre13.g575850			
g1718	Cre13.g575800			
g1720	Cre13.g575750			
g1721	Cre13.g575701			
g1723	Cre13.g575650			
g1725	Cre13.g575550			
g1726	Cre13.g575450			
g1727	Cre13.g575400			
g1728	Cre13.g575333			
g1729	Cre13.g575300			
g1734	Cre13.g575000			
g1735	Cre13.g574900			
g1737	Cre13.g574800			
g1742	Cre13.g801521			
g1743	Cre13.g574500			
g1744	Cre13.g574400			
g1745	Cre13.g574350			
g1746	Cre13.g574300			
g1748	Cre13.g574250			
g1749	Cre13.g574200			
g1750	Cre13.g574150			
g1751	Cre13.g574100			
g1752	Cre13.g574050			
g1753	Cre13.g574041			
g1757	Cre13.g573900			
g1758	Cre13.g573800			
g1759	Cre13.g573750			
g1765	Cre13.g573500			
g1767	Cre17.g802152			
g1768	Cre13.g573400			
g1771	Cre13.g573250			
g1773	Cre13.g573150			
g1775	Cre13.g573050			
g1776	Cre13.g573000			
g1780	Cre13.g572900			
g1783	Cre13.g572750			
g1792	Cre13.g572700			
g1793	Cre13.g572650			
g1794	Cre13.g572600			
g1795	Cre13.g572550			
g1796	Cre13.g572500			
g1799	Cre13.g572350			
g1807	Cre13.g572000			
g1808	Cre13.g571950			
g1810	Cre13.g571850			
g1811	Cre13.g571800			
g1812	Cre13.g571750			
g1813	Cre13.g571700			
g1814	Cre13.g571650			
g1815	Cre13.g571600			
g1818	Cre13.g571500			
g1819	Cre13.g571450			
g1822	Cre13.g571300			
g1825	Cre13.g571150			
g1827	Cre13.g571000			
g1829	Cre13.g570900			
g1830	Cre13.g570851			
g1832	Cre13.g570700			
g1837	Cre13.g570600			
g1840	Cre13.g570400			
g1845	Cre13.g570200			
g1847	Cre10.g456554			
g1849	Cre13.g569850			
g1850	Cre13.g569801			
g1851	Cre13.g569750			
g1857	Cre13.g569450			
g1858	Cre13.g569400			
g1859	Cre11.g467685			
g1861	Cre13.g569350			
g1866	Cre13.g569300			
g1868	Cre13.g569250			
g1869	Cre13.g569200			
g1870	Cre13.g568950			
g1871	Cre13.g568900			
g1872	Cre13.g568850			
g1873	Cre13.g568800			
g1878	Cre13.g568650			
g1879	Cre13.g568600			
g1883	Cre13.g568400			
g1886	Cre13.g568300			
g1888	Cre13.g568200			
g1891	Cre13.g568150			
g1894	Cre13.g568025			
g1897	Cre13.g568000			
g1898	Cre13.g567950			
g1899	Cre13.g567901			
g1901	Cre13.g567800			
g1904	Cre13.g567650			
g1906	Cre13.g567600			
g1907	Cre13.g567550			
g1913	Cre13.g567363			
g1918	Cre13.g567150			
g1919	Cre13.g567100			
g1922	Cre13.g566750			
g1923	Cre13.g566800			
g1924	Cre13.g566850			
g1926	Cre13.g566700			
g1927	Cre13.g566650			
g1931	Cre13.g566450			
g1935	Cre13.g566250			
g1938	Cre13.g566050			
g1939	Cre13.g566000			
g1942	Cre17.g733750			
g1946	Cre13.g565850			
g1947	Cre13.g565800			
g1948	Cre13.g565750			
g1950	Cre13.g565650			
g1951	Cre13.g565600			
g1952	Cre13.g565550			
g1955	Cre13.g565450			
g1956	Cre13.g565260			
g1957	Cre13.g565250			
g1962	Cre13.g565150			
g1963	Cre13.g565116			
g1969	Cre13.g564900			
g1970	Cre13.g564850			
g1973	Cre13.g564766			
g1983	Cre13.g564500			
g1996	Cre14.g625750			
g1997	Cre14.g625802			
g1999	Cre14.g625850			
g2004	Cre14.g626200			
g2005	Cre14.g626250			
g2006	Cre14.g626300			
g2007	Cre14.g626350			
g2008	Cre14.g626400			
g2012	Cre14.g626500			
g2015	Cre14.g626700			
g2016	Cre14.g626750			
g2018	Cre14.g626900			
g2021	Cre14.g627050			
g2035	Cre01.g007811			
g2036	Cre01.g007850			
g2050	Cre06.g248750			
g2051	Cre06.g248800			
g2052	Cre06.g248850			
g2053	Cre06.g249050			
g2054	Cre06.g248950			
g2055	Cre06.g248900			
g2056	Cre06.g249150			
g2058	Cre06.g249250			
g2059	Cre06.g249300			
g2068	Cre06.g249700			
g2070	Cre06.g249800			
g2072	Cre06.g249850			
g2075	Cre06.g250100			
g2076	Cre06.g250200			
g2077	Cre06.g250250			
g2078	Cre06.g250300			
g2079	Cre06.g250350			
g2080	Cre06.g250450			
g2081	Cre06.g250500			
g2086	Cre06.g250750			
g2089	Cre06.g250902			
g2090	Cre06.g250950			
g2091	Cre06.g251000			
g2093	Cre06.g251100			
g2094	Cre06.g251150			
g2099	Cre06.g251200			
g2103	Cre06.g251350			
g2104	Cre06.g251716			
g2105	Cre06.g251650			
g2106	Cre06.g251800			
g2108	Cre06.g251500			
g2109	Cre06.g251450			
g2110	Cre06.g251400			
g2111	Cre06.g252200			
g2113	Cre06.g252650			
g2115	Cre06.g251900			
g2117	Cre06.g252000			
g2121	Cre06.g252600			
g2122	Cre06.g800601			
g2123	Cre06.g252700			
g2124	Cre06.g252450			
g2125	Cre06.g252401			
g2126	Cre06.g252350			
g2127	Cre06.g252300			
g2130	Cre06.g253300			
g2131	Cre06.g800599			
g2132	Cre06.g253404			
g2134	Cre06.g251750			
g2135	Cre06.g251600			
g2138	Cre06.g254150			
g2140	Cre06.g254350			
g2141	Cre06.g254400			
g2142	Cre06.g254450			
g2145	Cre06.g254650			
g2148	Cre06.g254850			
g2149	Cre06.g800603			
g2151	Cre06.g255100			
g2153	Cre06.g255200			
g2154	Cre06.g255250			
g2155	Cre06.g255300			
g2156	Cre06.g255350			
g2157	Cre06.g255400			
g2158	Cre06.g255450			
g2170	Cre06.g256200			
g2171	Cre06.g256250			
g2172	Cre06.g256300			
g2174	Cre06.g256350			
g2176	Cre06.g256400			
g2178	Cre06.g256450			
g2179	Cre06.g256500			
g2186	Cre06.g256750			
g2187	Cre06.g257000			
g2190	Cre06.g257150			
g2192	Cre06.g257250			
g2193	Cre06.g257300			
g2194	Cre06.g257351			
g2195	Cre06.g257400			
g2196	Cre06.g257450			
g2198	Cre06.g257500			
g2201	Cre06.g257650			
g2202	Cre06.g257601			
g2204	Cre06.g257800			
g2205	Cre06.g257850			
g2206	Cre06.g257900			
g2207	Cre06.g257950			
g2208	Cre06.g258000			
g2209	Cre06.g258100			
g2210	Cre06.g258150			
g2212	Cre06.g258226			
g2213	Cre06.g258250			
g2214	Cre06.g258300			
g2215	Cre06.g258350			
g2217	Cre06.g258400			
g2218	Cre06.g258450			
g2219	Cre06.g258500			
g2222	Cre06.g258600			
g2223	Cre06.g258650			
g2224	Cre06.g258700			
g2225	Cre06.g258733			
g2226	Cre06.g258800			
g2227	Cre06.g258850			
g2228	Cre06.g258950			
g2229	Cre06.g259000			
g2230	Cre06.g259050			
g2231	Cre06.g259100			
g2232	Cre06.g259150			
g2233	Cre06.g259200			
g2237	Cre06.g259401			
g2238	Cre06.g259450			
g2245	Cre06.g300933			
g2249	Cre05.g230900			
g2251	Cre05.g800568			
g2252	Cre05.g230650			
g2253	Cre05.g230600			
g2254	Cre24.g755347			
g2256	Cre24.g755197			
g2257	Cre24.g755097			
g2258	Cre05.g241450			
g2260	Cre05.g241350			
g2261	Cre05.g241300			
g2263	Cre05.g241202			
g2265	Cre05.g241100			
g2267	Cre05.g241000			
g2269	Cre05.g240900			
