CINC	JG05	k0	k4	sites
g1049	JG24_g256	0.0244375561378631	0.19528345082568976	1426
g1050	JG24_g257	0.0405631698617802	0.20142833392816412	1651
g1051	JG24_g259	0.0289891158257093	0.2483001135407287	642
g1052	JG24_g260	0.1063000416349598	0.39012266429969616	1197
g1053	JG24_g261	0.0642244460215275	0.2469193710753343	1872
g1054	JG24_g262	0.0103673357044316	0.15093717500960507	1224
g1055	JG24_g263	0.0801583516305907	0.48754769581772506	799
g1056	JG24_g264	0.0043541486589903	0.11425554343651409	2095
g1057	JG24_g265	0.2783391963626008	0.6088604991475025	2471
g1058	JG24_g266	0.0261838207480159	0.25707488541945034	1724
g1059	JG24_g267	0.0129465749082714	0.26809191669135285	1289
g1061	JG24_g270	0.021650988000639	0.30930116407861613	995
g1062	JG24_g272	0.0195263708818261	0.18555612998538074	1332
g1063	JG24_g273	0.0146775721455729	0.22728757701007113	537
g1064	JG24_g274	0.1327906259983122	0.39129368566801975	1386
g1065	JG24_g275	0.0800498996023488	0.35967981019641465	2486
g1066	JG24_g276	0.0622579479823232	0.20694829193719658	1043
g1067	JG24_g277	0.0198551075003786	0.2544452568874129	2263
g1069	JG24_g278	0.0104896814810548	0.14044487882590292	1028
g1068	JG24_g279	0.0909315373711307	0.30878146856088695	1127
g1070	JG24_g280	0.0107144679356074	0.19178979131161683	835
g1071	JG24_g281	0.0340593124054894	0.2701762000939396	1502
g1073	JG24_g283	0.1219451151103095	0.3737978741306413	2037
g1074	JG24_g284	0.0746291013039424	0.3537416348457489	4247
g1075	JG24_g285	0.0802745676376412	0.3767847207094348	3286
g1076	JG24_g286	0.0239473022905359	0.33063221039236146	917
g1077	JG24_g287	0.0692578264630858	0.29536764981950886	7910
g1079	JG24_g288	0.0933369076897682	0.3818080286793461	1240
g1080	JG24_g289	0.0422106269239421	0.31554943517921463	402
g1081	JG24_g290	0.0493050167837152	0.3446062929374294	2155
g1082	JG24_g291	0.0142997658766343	0.2700879660972789	535
g1083	JG24_g292	0.0078611921804905	0.16034826667197905	1542
g1085	JG24_g293	0.0071514248632499	0.2510220279149679	422
g1086	JG24_g295	0.0396568140359608	0.23756875239996728	1059
g1087	JG24_g296	0.0779922851430357	0.3355461009347163	2609
g1089	JG24_g297	0.0158765052542222	0.21651539900980002	2826
g1090	JG24_g298	0.1462300956728994	0.4681633070529454	4493
g1093	JG24_g299	0.0378390457202914	0.36526123130420396	418
g1094	JG24_g300	0.0509138825365896	0.25042118670518443	5654
g1095	JG24_g301	0.118535276209078	0.44511296116037846	7422
g1096	JG24_g302	0.0444663648370228	0.3111543864075448	1321
g1097	JG24_g303	0.0200968961883348	0.25235417746590966	544
g1098	JG24_g304	0.0771184137945357	0.47445907221163747	2023
g1099	JG24_g305	0.0128071415099281	0.33011299957204066	967
g1100	JG24_g307	0.0067416184263249	0.36935736382334555	234
g1101	JG24_g308	0.033201126905689	0.27477178657081636	9402
g1102	JG24_g310	0.0612585232607003	0.6171798054472833	569
g1103	JG24_g311	0.0793812238924999	0.40294717297019766	1204
g1104	JG24_g312	0.0077922778868518	0.18567155899676674	998
g1105	JG24_g313	0.0223518066160961	0.2683484315125171	1567
g1107	JG24_g315	0.1204911978791559	0.31212029791868434	887
g1108	JG24_g316	0.0258869528176415	0.20822380244870964	1788
g1109	JG24_g317	0.0682649643027267	0.48022852438917396	984
g1110	JG24_g319	0.0504745432354637	0.34522588498853596	2322
g1111	JG24_g320	0.0934623931259589	0.4008715258889215	1779
g1112	JG24_g321	0.0097602028087876	0.18212985096745038	1238
g1113	JG24_g322	0.0520816565415758	0.3678570632630331	1224
g1114	JG24_g323	0.0018891697646129	0.2741492983295951	1628
g1115	JG24_g324	-0.0	0.3114880534133819	1797
g1116	JG24_g327	0.0775885030410185	0.4408399986765892	623
g1119	JG24_g328	0.0620704564367102	0.4354215524718663	4278
g1120	JG24_g330	0.0274275396259925	0.3287605174830408	2594
g1121	JG24_g331	0.0762760773285309	0.46781276270347333	1836
g1122	JG24_g332	0.0235544383031504	0.3268771544883473	530
g1123	JG24_g333	0.007159958912685	0.36526123130420396	1314
g1125	JG24_g334	0.053374087968885	0.5027307664425917	1142
g1126	JG24_g335	0.3496084892600188	0.6667931860618472	899
g4160	JG24_g357	0.0553059470251324	0.41693359227875254	2433
g4159	JG24_g358	0.0580478276249663	0.3904008284197137	1134
g4158	JG24_g359	0.0472401355700546	0.4911381716119987	638
g4157	JG24_g360	0.0393963647100293	0.48391403549099593	734
g4156	JG24_g362	0.2408845390425841	0.6023610568307054	618
g4155	JG24_g363	0.0443052817344107	0.3978834741277658	1463
g4154	JG24_g364	0.0055866180097429	0.29308541731893245	836
g4152	JG24_g365	0.0221418294497412	0.26920881935495367	420
g4151	JG24_g366	0.0244919722305394	0.32648855344338423	380
g4150	JG24_g367	0.0023419222775952	0.22423622077928568	1990
g4149	JG24_g369	0.075535481701373	0.5254366192855975	265
g4148	JG24_g370	0.0277975630326656	0.433283259685033	1722
g4147	JG24_g371	0.0240662359136253	0.27217912026702634	583
g4146	JG24_g372	0.0316227869414986	0.2899918321130012	835
g4144	JG24_g373	0.0046225107807515	0.33482938673885254	1631
g4143	JG24_g374	0.0031168876028793	0.24146585642624596	974
g4142	JG24_g375	0.0043165586779654	0.1584818202504052	1040
g4141	JG24_g376	0.0831046290126193	0.3798864541986512	2408
g4140	JG24_g377	0.2520811523445837	0.6472441126123448	2892
g4138	JG24_g378	0.0479546959352334	0.26163466058149226	3713
g4137	JG24_g379	0.11099761068966	0.3976626098104808	798
g4136	JG24_g380	0.1433996195047077	0.41427385665548555	1520
g4135	JG24_g381	0.0241195199888138	0.3554496805392188	1485
g4134	JG24_g382	0.0535206430787698	0.33577340379857795	1190
g4133	JG24_g383	0.0246618674310973	0.17712978870340773	2027
g4132	JG24_g384	0.0308968173287004	0.31094819375357763	1369
g4131	JG24_g385	0.0601553150490108	0.37005341955776105	3450
g4130	JG24_g386	0.1105955546759952	0.2892468606089886	1825
g4129	JG24_g387	0.0436923527927845	0.202036857562299	3292
g4128	JG24_g388	0.0949686196783832	0.3916420368122294	646
g4126	JG24_g389	0.0571705240409131	0.4217306847008506	497
g4125	JG24_g390	0.0464301638403387	0.3097168348779915	2497
g4124	JG24_g391	0.0372030091124972	0.23979614735312305	2449
g4123	JG24_g393	0.1892380780440563	0.6020416768488742	1332
g4122	JG24_g394	0.0485652728988958	0.23373476466788226	1118
g4121	JG24_g397	0.0261920985967686	0.1541048016994987	1192
g4120	JG24_g398	0.1853702578180118	0.5229029859416697	1188
g4119	JG24_g399	0.1391259072835007	0.36798583037193766	1751
g4118	JG24_g400	0.0095118586277912	0.2022898918677161	818
g4117	JG24_g401	0.0828427466732328	0.3551994314150236	3896
g4115	JG24_g403	0.1339163054988583	0.4247966061906011	643
g4114	JG24_g404	0.0402781342288958	0.26245651320670993	1417
g4113	JG24_g405	0.1274321983049763	0.3563020600698408	1814
g4110	JG24_g406	0.0514439921559856	0.31476757427963376	1921
g4109	JG24_g407	0.0353967685022058	0.24932997981995592	568
g4108	JG24_g408	0.0264474023529688	0.18314772038403157	1556
g4107	JG24_g410	0.1351688899177218	0.46544677515415334	4833
g4106	JG24_g411	0.1742739045237478	0.5764088985331177	728
g4105	JG24_g412	0.0865012905133075	0.5223397265208336	479
g4104	JG24_g414	0.0997418861056664	0.41674154003949443	680
g4103	JG24_g415	0.0701950808889527	0.3351377432032641	594
g4102	JG24_g416	0.0343209064681909	0.22541037618649978	2167
g4101	JG24_g417	0.2260335977462099	0.5231141866189075	1303
g4100	JG24_g418	0.0707920623966586	0.2768230979529672	1526
g4099	JG24_g419	0.1059757403574529	0.36832359384575475	3320
g4098	JG24_g420	0.2417002516824785	0.617576874114605	3847
g4096	JG24_g421	0.1578523321970381	0.46800727977650347	3867
g4095	JG24_g422	0.0034207584956719	0.22671065390470024	915
g4094	JG24_g423	0.0351626894241377	0.30409883108112323	394
g4093	JG24_g424	0.0355187316892185	0.4495864534874715	1031
g4092	JG24_g425	0.2498583348964037	0.5106578159760982	1093
g4090	JG24_g427	0.0967386260732311	0.34167431059757225	5605
g4089	JG24_g428	0.0309664330583612	0.12356642480704161	1384
g4088	JG24_g429	0.0551166115690343	0.33671266503592734	936
g4087	JG24_g430	0.0340967805575679	0.47930996946725235	597
g4086	JG24_g431	0.193907531568043	0.6296985833144255	543
g4085	JG24_g432	0.0767631072645444	0.2873279459625053	1689
g4084	JG24_g433	0.0472225181844347	0.2958114539411846	1318
g4083	JG24_g434	0.0893913879488388	0.2414250223215917	1091
g4082	JG24_g435	0.0849563544128952	0.5572961789562437	386
g4081	JG24_g436	0.0400361889870701	0.25123142276521476	790
g4080	JG24_g437	0.1609408388466789	0.4212998152903025	1891
g4079	JG24_g438	0.0659531701911558	0.2587269084532421	2281
g4078	JG24_g439	0.0095542693330722	0.269890947642084	477
g4069	JG24_g446	0.1466077639470532	0.4752793343751769	3123
g4974	JG24_g448	0.6221382290112403	1.0602700014810036	1503
g4070	JG24_g450	0.2494079423979885	0.5772654432617097	1669
g4071	JG24_g452	0.0647536522115439	0.25206097965138596	1626
g4072	JG24_g453	0.1955263867475874	0.48290709866487186	1826
g4073	JG24_g454	0.0470260082006033	0.24487980853566474	2188
g4074	JG24_g455	0.0411061773712462	0.2246039109464089	1099
g4075	JG24_g456	0.0052265019870699	0.40731486448815923	294
g4066	JG24_g458	0.0935677732222833	0.4786177682183016	4003
g4065	JG24_g459	0.0412907132644082	0.26257738408162334	1732
g4053	JG24_g461	0.0360275094497033	0.21451880343311353	620
g4054	JG24_g462	0.0788314460697416	0.2892468606089886	442
g4055	JG24_g463	0.0653438715373306	0.2615006322862734	1227
g4056	JG24_g464	0.0964863922909047	0.37511202433098656	2273
g4057	JG24_g465	0.1952910254929726	0.550179792773883	2807
g4058	JG24_g466	0.0118112677261043	0.15622278239791146	384
g4059	JG24_g467	0.0527810208424902	0.3823144967172474	901
g4060	JG24_g468	0.0301115710244271	0.15687194573907448	2156
g4061	JG24_g470	0.0498108321742553	0.28477169619683457	1165
g4062	JG24_g471	0.088561057140785	0.35407230743914964	1318
g4063	JG24_g472	0.0827741046413808	0.4071805040435147	1520
g4050	JG24_g474	0.0331841496345405	0.2380183804484231	2916
g4049	JG24_g475	0.062053270435187	0.2728667521112892	1710
g4048	JG24_g476	0.0279883222553963	0.5068165783860571	282
g4047	JG24_g479	0.0548690663897923	0.2560670563358018	2629
g4046	JG24_g480	0.1082548252394307	0.4142026342096156	11512
g4045	JG24_g481	0.1083980828655779	0.4236282989374308	2424
g4043	JG24_g483	0.0806029042860484	0.33976988948032766	946
g4042	JG24_g484	0.0551550121588758	0.27961008374851587	2118
g10134	JG24_g487	0.2062072850057634	0.6379466044565701	641
g4036	JG24_g492	0.0208288865344117	0.29571885563252925	1863
g4037	JG24_g494	0.0229343790450142	0.3749669636468151	747
g4038	JG24_g495	0.3144605616393155	0.8105830657740565	6303
g4039	JG24_g497	0.2316113793370144	0.6097749498098307	8722
g4040	JG24_g498	0.0434092211154839	0.2532318838270524	1104
g4041	JG24_g499	0.0527561170186837	0.3258612383154031	2424
g4033	JG24_g500	0.0705966335688703	0.3137763847080541	439
g4032	JG24_g502	0.1765428936931372	0.4131232187847675	406
g4028	JG24_g505	0.208007149020468	0.5626363222935173	4250
g4027	JG24_g506	0.0270299523623976	0.20937853708790424	520
g4026	JG24_g507	0.0602140033388425	0.3389888428072928	1428
g4025	JG24_g508	0.0086957495856894	0.17104317458747917	517
g4024	JG24_g510	0.1069169412143637	0.38590573146142204	3446
g4023	JG24_g511	0.0278644447989765	0.23126057001153738	1934
g4022	JG24_g513	0.0429229444158578	0.2462066020627759	1262
g4021	JG24_g514	0.0531902049782328	0.3175160046442047	1209
g4020	JG24_g516	0.0421049567886339	0.2092680072814998	1920
g4018	JG24_g517	0.1208395118575137	0.39123514679818056	1701
g4016	JG24_g518	0.1090848204017953	0.5662446826854438	1219
g4015	JG24_g519	0.1405972172207799	0.5198603854199589	1769
g4014	JG24_g520	0.0618416703403267	0.25235417746590966	1364
g4012	JG24_g523	0.0423841576975067	0.24196419171588396	1704
g4011	JG24_g524	0.097271862879469	0.4879406746058619	437
g4010	JG24_g525	0.2590264984627553	0.49080950353410324	891
g4009	JG24_g526	0.0830695707183103	0.3160173565835992	7991
g4008	JG24_g528	0.0877247818123706	0.42126303074961113	686
g4006	JG24_g529	0.1691185478778196	0.44222856653446574	3890
g4005	JG24_g531	0.0115832418206052	0.15587198725587545	1450
g4004	JG24_g532	0.0751030393568493	0.31052071409941945	11933
g4003	JG24_g533	0.192925650006164	0.5903820976561661	6125
g4002	JG24_g534	0.0986822683415394	0.5762779513481497	441
g4001	JG24_g535	0.1624842756885162	0.4194290888275771	1674
g4000	JG24_g536	0.046671353548807	0.2962726731116887	693
g3999	JG24_g537	0.031254522300426	0.22219936210737928	618
g3998	JG24_g538	0.0476059712791284	0.3375780735222874	2642
g3997	JG24_g539	0.0282460159772328	0.20822380244870964	1484
g3996	JG24_g540	0.1068368741599329	0.3467177247643371	1464
g3995	JG24_g541	0.0537543425431519	0.3904008284197137	1083
g3993	JG24_g542	0.0237259180470589	0.10388920060167124	715
g3992	JG24_g543	0.1223637305146758	0.456355882660194	2214
g3991	JG24_g544	0.085246354138592	0.33068389282793403	3835
g3990	JG24_g545	0.0608758335818294	0.4036283082423896	1008
g3989	JG24_g546	0.0470501892684414	0.30193432741427195	2407
g3988	JG24_g547	0.0284664150003266	0.5393420002224046	543
g3987	JG24_g548	0.2171399984919848	0.4940683323008822	9140
g3986	JG24_g549	0.1882005416332574	0.3303631008058093	1171
g3985	JG24_g551	0.0196861695562022	0.23392224792928173	1169
g3984	JG24_g552	0.0319418788477939	0.1998496749761312	2296
g3983	JG24_g553	0.0963682288260751	0.4095038481653729	2932
g3982	JG24_g557	0.0354461568352028	0.1971066057799809	1881
g3981	JG24_g558	0.0203402296643954	0.16602905374937074	467
g11994	JG24_g559	0.7923453410294772	0.8680895915182821	774
g3980	JG24_g560	0.0416546889517512	0.24019250879282933	5996
g3979	JG24_g561	0.0659383937949705	0.2243135284121945	462
g3978	JG24_g563	0.1871265095563015	0.4482383324047746	2923
g3977	JG24_g564	0.1895267651668156	0.6679108831357652	648
g3975	JG24_g568	0.1089855735200702	0.3552655984471221	1823
g3974	JG24_g569	0.0671340025867353	0.2896680061358575	4484
g3973	JG24_g570	0.0040927795972936	0.2126814678743456	374
g3972	JG24_g571	0.0427907301133769	0.3356957529941757	1675
g3970	JG24_g572	0.0651387148651402	0.37877452790490496	1687
g3969	JG24_g573	0.1743344579823924	0.4798098028746226	813
g3968	JG24_g574	0.0553942958535933	0.27616037810777877	2582
g3967	JG24_g576	0.1451294619118066	0.379549907102053	4695
g3966	JG24_g577	0.0315598777697239	0.31430307012295733	695
g3965	JG24_g578	0.1009153372966612	0.21192522883875786	369
g3964	JG24_g579	0.0942266321394278	0.4017431996003792	1341
g3962	JG24_g582	0.0992582405814029	0.3272567600044528	4834
g3960	JG24_g583	0.0376254440385144	0.2296788556587031	1503
g3959	JG24_g584	0.1704043839923164	0.47320542656801456	1434
g3958	JG24_g585	0.1070640352391887	0.43530491820337247	1355
g3957	JG24_g586	0.2955598394122792	0.7882381797591413	1383
g13867	JG24_g587	0.218397760919419	0.4879406746058619	581
g3956	JG24_g588	0.0780060619676617	0.2979763481017525	4557
g3955	JG24_g589	0.1976556823835292	0.4431118671309241	4700
g3953	JG24_g592	0.1345074036776351	0.4846771758792656	4004
g3952	JG24_g593	0.0351295540614422	0.3379391575414755	1297
g3950	JG24_g597	0.0607414423342926	0.3809578330433264	1887
g3949	JG24_g598	0.017462298393826	0.17753672164481507	2799
g3948	JG24_g599	0.173960095560606	0.51816163044682	1881
g3947	JG24_g600	0.0475769237693156	0.3001340641387623	1291
g3946	JG24_g601	0.1955446968474395	0.5657570561901487	739
g3945	JG24_g602	0.1236011357803434	0.4223205392338107	630
g3944	JG24_g603	0.1301712099130249	0.3578270424557614	2456
g3942	JG24_g604	0.0127662656770729	0.13278337476983312	948
g3941	JG24_g605	0.0477298200624741	0.2613278361561424	1035
g3940	JG24_g606	0.01459298273811	0.13989272060222624	12420
g3939	JG24_g607	0.0234508601079221	0.19569741523526096	1056
g3938	JG24_g608	0.0229903058182518	0.22599363664167565	410
