CREN	CSCH	k0	k4	sites
Cre05.g233751	g7677	0.0630902745104459	0.5664592212502138	483.0
Cre05.g233800	g7679	0.0321825375582129	0.22062493404828137	2054.0
Cre05.g233850	g7680	0.3342249443482243	0.7064688589670497	3026.0
Cre05.g233900	g7681	0.0585212078224132	0.39548613236032615	1028.0
Cre05.g233950	g7682	0.0107144679356074	0.24540968340631217	431.0
Cre05.g234050	g7683	0.0664830228101363	0.5324657241572448	938.0
Cre05.g234100	g7684	0.0338003769178255	0.28848577726848157	1606.0
Cre05.g234150	g7686	0.3688448936974962	0.96238767389706	1648.0
Cre05.g234200	g7687	0.099067073480716	0.4591335885197085	2440.0
Cre05.g234250	g7688	0.2213957906019355	0.848961531701776	302.0
Cre05.g234300	g7689	0.0291298749871979	0.2856494618210975	1368.0
Cre05.g234350	g7690	0.1015685901694295	0.6346191810750544	1784.0
Cre05.g234400	g7691	0.1584818202504052	0.7404505873789411	7858.0
Cre05.g234500	g6847	0.1199410401043042	0.5132855155108218	2529.0
Cre05.g234550	g6848	0.0094809388945553	0.09641634947872094	1118.0
Cre05.g234636	g12831	0.0311386456547471	0.3477352976181752	691.0
Cre05.g234637	g12830	0.0117189884273106	0.06033402391405441	383.0
Cre05.g234638	g12829	0.0188959322014797	0.20566718930833217	1762.0
Cre05.g234639	g12828	0.0227590022247666	0.18247376496950252	1545.0
Cre05.g234640	g12827	0.0972724733127505	0.5447327992149018	10202.0
Cre05.g234641	g12826	0.3710221813770801	0.7574599886868402	640.0
Cre05.g234642	g2231	0.3321556699223213	0.7535951500878411	1712.0
Cre05.g234645	g12824	0.1548850620356898	0.6724722656062484	7011.0
Cre05.g234647	g12821	0.0449909982910865	0.6714084120623258	699.0
Cre05.g234649	g12822	0.2975810991871404	0.8914788302443722	2532.0
Cre05.g234651	g12820	0.0974897275720764	0.3526420106337455	1913.0
Cre05.g234652	g12819	0.0306164958901913	0.41624763155934597	1049.0
Cre05.g234654	g12817	0.1196127441001332	0.48690710814639393	2514.0
Cre05.g234655	g12816	0.0295347947723031	0.39960339786357457	931.0
Cre05.g234656	g12815	0.1685907554606081	0.6781112587863222	3442.0
Cre05.g234657	g12814	0.2605013999101218	0.7665148823900443	1688.0
Cre05.g234659	g12812	0.1053437516225411	0.4880997245481399	641.0
Cre05.g234660	g12811	0.173213800321516	0.7020700193777509	1150.0
Cre05.g234661	g12810	0.038203663931351	0.43405262203665085	1879.0
Cre05.g234662	g12809	0.1434531395636025	0.5985944579777557	1008.0
Cre05.g234663	g12808	0.1578579574642383	0.7785506136499825	3445.0
Cre05.g234664	g12806	0.135112502460335	0.6476194097303881	1124.0
Cre05.g234665	g12805	0.0630528650413533	0.3811740518582632	2862.0
Cre05.g234700	g12804	0.0236133738477816	0.32952499483788433	6773.0
Cre05.g234750	g12803	0.06015246431623	0.38909534506137555	805.0
Cre05.g234801	g12802	0.0979439954617234	0.6510664725422081	1655.0
Cre05.g234850	g12801	0.2146698828701502	0.9053366703361942	5808.0
Cre05.g235450	g13531	0.0191459024650072	0.5221574775678685	1633.0
Cre05.g235500	g13532	0.1259822061976879	0.6633680198602183	4067.0
Cre05.g235550	g13533	0.1770633077892959	0.649152530957851	8803.0
Cre05.g235700	g13535	0.1602310921804219	0.4657385507337862	1111.0
Cre05.g235750	g13536	0.0865704914729433	0.4383389542579993	4433.0
Cre05.g235800	g13537	0.0423416931039587	0.5627291957999205	1178.0
Cre05.g235850	g13538	0.1173684418695773	0.47369196567038374	1996.0
Cre05.g235900	g13539	0.1776040265969282	0.6643539688387057	3997.0
Cre05.g235950	g13540	0.1533540689505878	0.4791405736449623	1943.0
Cre05.g236000	g13541	0.1335037742637184	0.6839852852797745	7566.0
Cre05.g236039	g13542	0.2722348595558186	0.690698333572993	1294.0
Cre05.g236050	g13548	0.0931814826532348	0.6075782881077212	14094.0
Cre05.g236100	g13547	0.0940414175627135	0.6835786598207029	6425.0
Cre05.g236150	g13546	0.0131871529184001	0.3271775750811886	694.0
Cre05.g236183	g13545	0.406935921100554	0.9940392060246737	1611.0
Cre05.g236216	g13544	0.1090975032514967	0.46419251526593286	7046.0
Cre05.g236250	g13549	0.2069904969127053	0.8227377178597397	6147.0
Cre05.g236650	g13554	0.1155681601171039	0.6190937375844289	2860.0
Cre05.g236700	g13555	0.1698654279429548	0.6257231739184216	4341.0
Cre05.g236750	g13558	0.5391759010605264	1.5531008109874231	2980.0
Cre05.g236850	g13561	0.4737410834846886	1.1520547125486085	7784.0
Cre05.g236950	g13564	0.1489750952861795	0.5878582437405939	3625.0
Cre05.g237000	g13565	0.0169978946829089	0.3114880534133819	886.0
Cre05.g237050	g13566	0.0645150996729241	0.32896298656879863	858.0
Cre05.g237100	g13567	0.0283052459871352	0.7662384356489861	400.0
Cre05.g237150	g13568	0.0330814374422067	0.6602690419860687	461.0
Cre05.g237250	g10718	0.0485106600184238	0.06878795102028185	2189.0
Cre05.g237350	g13570	0.032972342565837	0.250716622230202	624.0
Cre05.g237400	g13571	0.015915716612164	0.3686084870761534	952.0
Cre05.g237450	g13572	0.0233272392257081	0.3655079114034555	846.0
Cre05.g237600	g13573	0.2853391684930617	0.744254656907765	3357.0
Cre05.g237650	g13574	0.0979066584205344	0.5345536425278363	3673.0
Cre05.g237750	g13575	0.0470281353834475	0.6170109245638856	557.0
Cre05.g237800	g13577	0.1649609879135191	0.564300242574781	3358.0
Cre05.g237950	g13578	0.1142399984055197	0.4657385507337862	4291.0
Cre05.g238000	g13579	0.335248653033774	0.8610037829982647	1754.0
Cre05.g238052	g13580	0.3534296926443757	0.8019997338555984	9239.0
Cre05.g238100	g13581	0.0972759122302569	0.39895473891225475	3011.0
Cre05.g238150	g13584	0.116923817078564	0.46287095518651744	1331.0
Cre05.g238200	g13585	0.0299566883183207	0.18848582121067953	985.0
Cre05.g238250	g13587	0.0734081814821779	0.49954966646795607	1533.0
Cre05.g238260	g13589	0.060442816290968	0.43152310867767135	3000.0
Cre05.g238280	g13590	0.1106151116879456	0.5650903400932022	691.0
Cre05.g238290	g13591	0.2236688786624466	0.6260507055125133	2383.0
Cre05.g238301	g13593	0.1234272085016282	0.3508561790117249	809.0
Cre05.g238311	g13594	0.0626669142682301	0.3569537735741625	757.0
Cre05.g238322	g13595	0.0229025428950612	0.4130356352153455	1203.0
Cre05.g238332	g13596	-0.0	0.08189946897374398	584.0
Cre05.g238343	g6041	0.0872846449905475	0.061258523260700345	822.0
Cre05.g238364	g13597	0.062946491178415	0.5056284593257045	408.0
Cre05.g238374	g13598	0.3460352197088056	1.0477021687821981	6141.0
Cre05.g238400	g13599	0.5348270874205414	0.8857588653263824	802.0
Cre05.g238500	g13601	0.2107199645071015	0.7251322582777396	1970.0
Cre05.g238550	g13602	0.2554216664045535	0.7916012569996961	2133.0
Cre05.g238650	g13604	0.1517328484019124	0.5167547909204354	1292.0
Cre05.g238687	g13605	0.0774759974766736	0.41121696623110987	832.0
Cre05.g238800	g13610	0.2613522202941001	0.7821028625551714	2121.0
Cre05.g238900	g13612	0.0837731668772267	0.5047953164949058	2230.0
Cre05.g238935	g13613	0.1903574192781243	0.7384235866476103	1924.0
Cre05.g238950	g13614	0.0885193376729061	0.4448776934891938	784.0
Cre05.g239000	g13615	0.1044690081771754	0.5417278236385507	4455.0
Cre05.g239050	g13616	0.0899954688835903	0.5157997366268046	2663.0
Cre05.g239100	g13617	0.2005536600094725	0.6092949557010667	2237.0
Cre05.g239151	g13618	0.1208395118575137	0.6447578465444788	1364.0
Cre05.g239200	g13619	0.0717803129678877	0.7750288250997814	502.0
Cre05.g239250	g13620	0.0844657714704634	0.415234215711689	3139.0
Cre05.g239300	g13621	0.192348745756741	0.8750260571465284	3346.0
Cre05.g239450	g13625	0.1981203410512949	0.7142664511061417	5356.0
Cre05.g239500	g13626	0.0913859173251353	0.4260975092644257	2043.0
Cre05.g239550	g13627	0.2369432407969151	0.7506450789061748	1861.0
Cre05.g239600	g13628	0.3204038210584278	0.8954418513543257	1179.0
Cre05.g239650	g13629	0.1588507105129911	0.7225781327248928	1481.0
Cre05.g239700	g13630	0.1782938178442687	0.6527652275153473	1637.0
Cre05.g239750	g13631	0.089868559175933	0.6092698567694425	1963.0
Cre05.g239850	g13633	0.0979125236945724	0.5481656314070942	2311.0
Cre05.g239900	g13634	0.0892967808833913	0.6122848657379201	1958.0
Cre05.g239950	g3149	0.6251429768435186	0.9413860120197373	2196.0
Cre05.g239978	g13636	0.0503544771282214	0.5807794653618984	456.0
Cre05.g240000	g13637	0.0845966206090083	0.4828315889743977	947.0
Cre05.g240050	g13638	0.308993344862755	0.7191377597197133	1841.0
Cre05.g240150	g13640	0.0033519608867227	0.7043884138050057	456.0
Cre05.g240350	g13649	0.3142809043823242	0.9572879635200653	1433.0
Cre05.g240400	g13650	0.152679499046768	0.7028916371338287	1271.0
Cre05.g240450	g13651	0.0411061773712462	0.740539990168414	274.0
Cre05.g240500	g13652	0.1729338973512959	0.6637315854065183	2766.0
Cre05.g240550	g13654	0.0794936368604829	0.4688806477303044	635.0
Cre05.g240650	g13655	0.1149302606198346	0.6131221709904144	2221.0
Cre05.g240700	g13656	0.1124990720719797	0.4680415294796786	4935.0
Cre05.g240800	g13657	0.0208760992450829	0.2148463620349137	514.0
Cre05.g240850	g13658	0.0294878275056261	0.26022667606991684	1868.0
Cre05.g240900	g13659	0.1086679372118349	0.3745631358390218	3523.0
Cre05.g241000	g13661	0.0428688103799614	0.37862818644102597	366.0
Cre05.g241050	g13662	0.3154273449949958	0.696420618349477	899.0
Cre05.g241100	g13663	0.0049423572592916	0.4692794248233094	304.0
Cre05.g241150	g13664	0.0896018192775669	0.37465534933181616	5253.0
Cre05.g241202	g13665	0.0763754832571453	0.5024582126102111	2528.0
Cre05.g241250	g13666	0.2132332591441476	0.6697528353715232	4300.0
Cre05.g241300	g13669	0.0058366053315412	0.14059721722077992	255.0
Cre05.g241350	g13670	0.063985860466038	0.31051304244261113	4258.0
Cre05.g241400	g13671	0.1079858924752968	0.40001883587618425	3250.0
Cre05.g241450	g13672	0.0280275490174714	0.42541529049048143	1132.0
Cre05.g241631	g17127	0.6286810468076672	1.0528101083033377	2619.0
Cre05.g241633	g6835	0.1652161160383541	0.5302053770192109	1283.0
Cre05.g241637	g6843	0.019599105207636	0.2505811269947493	1016.0
Cre05.g241639	g6845	0.1175331784975567	0.6197660149064704	727.0
Cre05.g241650	g6684	0.0702959257448965	0.6243887671424726	2582.0
Cre05.g241655	g6846	0.0837522636383182	0.6263961286619699	394.0
Cre05.g241750	g6686	0.0092736884782124	0.33011299957204066	1016.0
Cre05.g241751	g6685	0.2755281336024764	0.829240928470142	1313.0
Cre05.g241850	g6687	0.0225863994570624	0.42616960428571915	1236.0
Cre05.g241900	g6688	0.0822741879423183	0.6105748432332059	1179.0
Cre05.g241950	g6689	0.0133761507270256	0.28332187916912144	826.0
Cre05.g242000	g6690	0.0250884188860261	0.25362106965904335	2075.0
Cre05.g242100	g6691	0.1969098228158836	0.5268371799166942	3686.0
Cre05.g242178	g6693	0.2780092440170617	0.5542632259695319	1427.0
Cre05.g242200	g6695	0.1616035729364207	0.4380544801543106	3041.0
Cre05.g242300	g6696	0.0350401769083711	0.2206122465374439	1687.0
Cre05.g242350	g6697	0.0359615755509302	0.20119798994600957	3146.0
Cre05.g242400	g6698	0.0072029365156353	0.2842037653310519	420.0
Cre05.g242500	g6701	0.0225073154009938	0.29593178123167213	1386.0
Cre05.g242550	g6702	0.026030526714197	0.2907294931166729	1372.0
Cre05.g242600	g6703	0.1325915061070567	0.7449388297577126	1158.0
Cre05.g242650	g6704	0.1604998373780637	0.5754021457729857	6231.0
Cre05.g242856	g6708	0.1443983367296943	0.557207156423547	3526.0
Cre05.g242858	g6724	0.0885764730447456	0.35617308259221503	7364.0
Cre05.g242900	g6710	0.1519191851593691	0.6608189961811964	934.0
Cre05.g242950	g6711	0.131393049606079	0.5026182467514348	809.0
Cre05.g243000	g6712	0.1121350307990559	0.3568007279660404	2674.0
Cre05.g243050	g6713	0.0638092569289318	0.4769915750399977	571.0
Cre05.g243150	g6717	0.2231475376732144	0.6579828667160751	11995.0
Cre05.g243353	g6720	0.3758880681052922	0.8708494842370826	2276.0
Cre05.g243354	g6721	0.4051942789508796	0.8239592165010822	1591.0
Cre05.g243450	g6726	0.165267277899886	0.6190937375844289	2867.0
Cre05.g243451	g6727	0.1222209821320598	0.7997635698374161	618.0
Cre05.g243452	g6731	0.2729195437189536	0.8322205116740902	10443.0
Cre05.g243700	g6734	0.3110326246891615	0.8606798368978583	2992.0
Cre05.g243800	g6737	0.0147642563032727	0.2113883641057408	532.0
Cre05.g243801	g6736	0.0926181763212329	0.4654219419607805	6304.0
Cre05.g243802	g6735	0.1705162116288601	0.5789043667238458	2544.0
Cre05.g243850	g5519	0.2326161962278796	0.26523003018268376	537.0
Cre05.g243900	g6738	0.1723081765091713	0.5967119859324647	1202.0
Cre05.g243950	g6739	0.0925052405409374	0.3459053183372996	952.0
Cre05.g244000	g6740	0.1925880570131351	0.5631661314370965	2333.0
Cre05.g244050	g6744	0.1156659703619391	0.41923969740434097	10782.0
Cre05.g244100	g6745	0.3191327420320473	0.7323306904281947	5711.0
Cre05.g244200	g6747	0.1269114069664905	0.5188489220164889	2314.0
Cre05.g244236	g6748	0.0991288298313623	0.3167649946025146	1078.0
Cre05.g244250	g6749	0.0264517639592031	0.2578168273790226	11860.0
Cre05.g244350	g6751	0.1648512852846453	0.6354733952904027	723.0
Cre05.g244400	g6752	0.1732509223726407	0.9073784428337504	840.0
Cre05.g244450	g6753	0.1884858212106795	0.5198603854199589	1067.0
Cre05.g244500	g6754	0.2035901287125898	0.658159434857026	5014.0
Cre05.g244700	g6755	0.1446202474849298	0.7126442126623774	839.0
Cre05.g244750	g6756	0.1331579506784622	0.5972485625963819	1378.0
Cre05.g244800	g6757	0.0339715352852859	0.3000337804791188	1726.0
Cre05.g244850	g6758	0.1867456812189067	0.7851574607016906	571.0
Cre05.g244900	g6759	0.0215261412843742	0.17757653795889544	1156.0
Cre05.g244950	g6760	0.0116915851608382	0.25389421907479137	657.0
Cre05.g245100	g6764	0.3674342355292586	0.7445800639053799	2751.0
Cre05.g245102	g6761	0.0759403002788796	0.5242592250092575	548.0
Cre05.g245150	g6765	0.1301331953338498	0.4408399986765892	344.0
Cre05.g245350	g6767	0.0897637812037585	0.4661532361363666	2324.0
Cre05.g245450	g6769	0.0851660246601467	0.42561104905603	1110.0
Cre05.g245451	g6768	0.2364525217279574	0.6486368763948298	1232.0
Cre05.g245550	g6771	0.0694627036565109	0.3094542579256755	6767.0
Cre05.g245701	g6772	0.1112496205016069	0.4037537921161034	3833.0
Cre05.g245800	g6770	0.4121283587483266	0.7300868592855778	432.0
Cre05.g245900	g6773	0.0241631636630979	0.29437947259924435	1134.0
Cre05.g245950	g6774	0.0224083058081282	0.18912575299011763	1848.0
Cre05.g246000	g6775	0.1002532857575783	0.4546018526777367	516.0
Cre05.g246050	g6777	0.2106253597936485	0.9148345667315503	1597.0
Cre05.g246100	g6780	0.1002302749757469	0.4690388088443448	2714.0
Cre05.g246200	g6778	0.2785740760835042	0.8673129929503177	3527.0
Cre05.g246300	g6781	0.1185758436751244	0.4371903564382097	2007.0
Cre05.g246377	g6782	0.1296321096295581	0.46077472703012334	1204.0
Cre05.g246400	g6783	0.2531358346497424	0.9781141016730538	786.0
Cre05.g246552	g6785	0.0437136429108594	0.4440045603336203	2634.0
Cre05.g246650	g6776	0.3718258246364001	0.49443422166319806	378.0
Cre05.g246750	g6789	0.4988894386049352	1.0067334441871807	4265.0
Cre05.g246753	g6787	0.161858778256173	0.5140688508495262	1971.0
Cre05.g246800	g6790	0.0462303054055465	0.2901319470076219	768.0
Cre05.g246850	g6791	0.0215842234125325	0.35162604153056526	226.0
Cre05.g246900	g6792	0.1317727664087474	0.4598283546648066	499.0
Cre05.g246950	g6798	0.0982390775782291	0.49878386102943795	1360.0
Cre05.g247000	g6797	0.111227497549091	0.5254855832889117	8460.0
Cre05.g247050	g6796	0.1403924250835255	0.6012851708335537	700.0
Cre05.g247100	g6795	0.1820313923910199	0.770871023726805	1804.0
Cre05.g247150	g6794	0.1342629968253034	0.4752159009344389	658.0
Cre05.g247250	g6799	0.3415917621635076	1.0142768200297594	3984.0
Cre05.g247300	g6800	0.1313091728209887	0.5926344540834674	1524.0
Cre05.g247400	g6806	0.1257291600011021	1.1280580475822055	497.0
Cre05.g247450	g6807	0.1191985196387662	0.36708118605198	2644.0
Cre05.g247500	g6808	0.2194455137491585	0.670733868866535	3693.0
Cre05.g247550	g6809	0.1528708215111887	0.655024265367841	876.0
Cre05.g247600	g6810	0.0182047772671548	0.16369017451501344	413.0
Cre05.g247650	g6811	0.1455259245163772	0.634616105375948	8647.0
Cre05.g247700	g6812	0.1396202498258402	0.5575960110542644	1605.0
Cre05.g247850	g6814	0.1231573551381813	0.6081976621622466	1186.0
Cre05.g247851	g6813	0.1005824467078591	0.4338955046169918	1484.0
Cre05.g247950	g6817	0.316173395281759	0.8621030294262004	613.0
Cre05.g248000	g6818	0.1226567592259143	0.581298227270874	2064.0
Cre05.g248050	g6819	0.1340815076084893	0.44765048815339914	5054.0
Cre05.g248100	g6822	0.0750625939177369	0.4026008326269386	1301.0
Cre05.g248150	g6823	0.0420867770225612	0.3585658107342708	1098.0
Cre05.g248200	g6824	0.1044630338354793	0.41751126428922425	3168.0
Cre05.g248250	g6825	0.166380562580807	0.4849703736937894	1325.0
Cre05.g248300	g6826	0.1582386197294464	0.45076159851175523	2249.0
Cre05.g248401	g6827	0.2759481366374744	0.801056673606021	1111.0
Cre05.g248450	g1600	0.0151329219644631	0.16279837892837062	795.0
Cre05.g248500	g6828	0.0962171559096914	0.7070564384709934	446.0
Cre05.g248550	g6832	0.1710191841836386	0.4882842709198956	4766.0
Cre05.g248600	g6833	0.0818994689737439	0.44867296804740175	349.0
Cre05.g248650	g6834	0.366878022722471	0.8993815657920681	3712.0
Cre05.g800510	g6718	0.2342478139852343	0.5068165783860571	1562.0
Cre05.g800511	g6719	0.0445045798397315	0.4993111547788732	495.0
Cre05.g800513	g6723	0.540512503776413	1.4894366127517595	403.0
Cre05.g800514	g6725	0.08795472126345	0.4726313857100324	2315.0
Cre05.g800515	g6730	0.2299207755369378	0.5669833195142703	3844.0
Cre05.g800522	g6762	0.1152706222817536	0.5843645174279962	1183.0
Cre05.g800526	g6786	0.3351377432032641	0.8680895915182821	518.0
Cre05.g800563	g13639	0.1830803924069676	0.5935044050543694	731.0
Cre05.g800568	g8424	0.0696232395321703	0.40106265738842684	1181.0
Cre05.g800572	g8431	0.0722274214089875	0.38596320823125596	2431.0
Cre05.g800573	g8439	0.2501667478701855	0.5653288517822852	8068.0
Cre05.g800575	g7654	0.1203002651097722	0.4524681385785631	4720.0
Cre05.g800578	g7672	0.2626741617874003	0.7515345677077938	2194.0
Cre24.g755097	g8421	0.0308368202932278	0.37922743740923603	1551.0
Cre24.g755197	g13678	0.0682288336542949	0.30409883108112323	428.0
Cre24.g755247	g13677	0.2967612463493202	0.5424308960198073	2231.0
Cre24.g755297	g13675	0.1110261018004368	0.4291013577062383	1529.0
Cre24.g755347	g13674	0.0402858629408029	0.32631170835885825	4109.0
Cre24.g755447	g8432	0.0245192712641567	0.35967981019641465	699.0
Cre24.g755497	g8433	0.0444574574471551	0.3325232855243627	1046.0
Cre24.g755597	g8434	0.0691425393510609	0.3050207734221707	2116.0
Cre24.g755647	g8435	0.0794901191317162	0.47310303748935734	1144.0
Cre24.g755747	g8436	0.1640801971182153	0.605282773145286	4135.0
Cre24.g755797	g8437	0.2878201961947466	0.607184832838843	1690.0
Cre24.g755847	g8438	0.1999489264547095	0.5702370495998187	1419.0
Cre36.g759597	g13641	0.2272875770100711	0.6802282499440145	2059.0
Cre36.g759647	g13642	0.0719340342048176	0.4230085495563456	1276.0
Cre36.g759697	g13643	0.2315970754265974	0.560782751390208	2898.0
Cre36.g759747	g13645	0.1362362870647876	0.5198603854199589	1391.0
Cre04.g211600	g1296	0.0360773362637952	0.3142417354811173	1773.0
Cre04.g211700	g1295	0.2307344326564243	0.8027313843789435	1808.0
Cre04.g211750	g1291	0.0721214136778506	0.3994242078017973	772.0
Cre04.g211800	g1290	-0.0	0.08007598156927954	416.0
Cre04.g211850	g1288	0.0490881481813788	0.269530500680923	701.0
Cre04.g211900	g1287	0.0811601884801745	0.41617541548880754	1941.0
Cre04.g212050	g1286	0.1971615714722525	0.7160878315180075	4935.0
Cre04.g212100	g1285	0.1587257722753249	0.6588437071516996	2263.0
Cre04.g212200	g4876	0.2694302215705835	0.4345506536443839	1645.0
Cre04.g212250	g1284	0.0631952577133048	0.34013870888151326	1644.0
Cre04.g212300	g1282	0.1409498453755507	0.5496656319070947	3017.0
Cre04.g212401	g1281	0.1281696457277489	0.5209924611065997	1073.0
Cre04.g212450	g1280	0.3083723469171016	0.8302617745983668	1075.0
Cre04.g212500	g1279	0.0361298029951392	0.46790479100740506	870.0
Cre04.g212550	g1034	0.2415849129695348	0.8589231744930252	2108.0
Cre04.g212600	g1033	0.1046470584548071	0.5523732160751693	656.0
Cre04.g212650	g1032	0.0304610393656426	0.43152310867767135	831.0
Cre04.g212700	g1031	0.2322995066844853	0.6360129636589986	5343.0
Cre04.g213000	g1024	0.1500909336741581	0.7132676540947851	1856.0
Cre04.g213050	g1023	0.0743852400672255	0.523716435045273	724.0
Cre04.g213100	g1022	0.083605399847339	0.5103061160868867	982.0
Cre04.g213150	g1020	0.1388568248516969	0.4607087102618215	2058.0
Cre04.g213250	g1019	0.0365091088460456	0.26078343503825235	2768.0
Cre04.g213350	g1017	0.115087646111833	0.6805587376747688	10282.0
Cre04.g213450	g1014	0.0185337616386428	0.340337764034229	660.0
Cre04.g213500	g1013	0.1842123053747012	0.5758887251211358	1396.0
Cre04.g213650	g1009	0.4247966061906011	0.7284546497186313	1492.0
Cre04.g213652	g6912	0.7212811586737109	1.3804122250481154	1633.0
Cre04.g213761	g12715	0.1569532871126304	0.987649391016096	538.0
Cre04.g213800	g1004	0.1704600463994925	0.656601553015425	2017.0
Cre04.g213873	g12716	0.1332909027411699	0.5860756917574188	4260.0
Cre04.g213904	g1002	0.0189483762446113	0.3546797916777726	1468.0
Cre04.g213905	g1003	0.0742655694006454	0.3286561850100592	1824.0
Cre04.g213985	g12717	0.0371880975529564	0.35790675972525426	675.0
Cre04.g214000	g1001	0.2255947587045618	0.7620359516598112	6378.0
Cre04.g214050	g1000	0.0709443665162007	0.49416617305419763	1541.0
Cre04.g214097	g969	0.0768387936821959	0.35543978862486947	2997.0
Cre04.g214100	g999	0.0918175614096642	0.618131582224762	371.0
Cre04.g214150	g997	0.0436169401178055	0.19955613289802004	1060.0
Cre04.g214200	g984	0.2152818613260008	0.7102967929056817	3212.0
Cre04.g214250	g9194	0.1258308120350514	0.510444520560512	3109.0
Cre04.g214350	g983	0.0595025566773908	0.3757886768764228	5097.0
Cre04.g214351	g982	0.4954263509169433	1.0586655209093463	5159.0
Cre04.g214433	g966	0.3747098795492339	0.7585107382089021	1489.0
Cre04.g214500	g12723	0.0279610987778663	0.22219936210737928	1240.0
Cre04.g214501	g12722	0.0537985433622193	0.4308854767653998	2320.0
Cre04.g214502	g12721	0.0249411735640206	0.15216820878154724	1033.0
Cre04.g214503	g12720	-0.0	0.07620763230808683	416.0
Cre04.g214504	g1361	0.2863699505059012	0.6450375641106817	6629.0
Cre04.g214550	g15859	0.3711537718678117	0.8118621800536694	483.0
Cre04.g214650	g12730	0.1148887220304745	0.4728570551978773	5045.0
Cre04.g214657	g965	0.2732458280903314	0.6851414439795165	4582.0
Cre04.g214690	g12731	0.2752522553678905	0.8025800967526376	3549.0
Cre04.g214700	g12732	0.275793585093988	0.7392539081156357	1493.0
Cre04.g214850	g12733	0.2932915019694987	0.7706033914821515	3731.0
Cre04.g214900	g12734	0.2122862317775092	0.7861360762809135	982.0
Cre04.g215000	g12736	0.1490030210966131	0.5393420002224046	1190.0
Cre04.g215050	g12737	0.0352384247453199	0.39916261031048134	878.0
Cre04.g215100	g12738	0.3773392264216597	1.0447712949759258	1282.0
Cre04.g215150	g12739	0.0480163940736982	0.4217306847008506	1899.0
Cre04.g215250	g12744	0.1556439134277799	0.5048002090064277	7413.0
Cre04.g215350	g12749	0.0582382006725495	0.5071697273037061	2505.0
Cre04.g215400	g12750	0.0567343557956249	0.3751664516288404	2622.0
Cre04.g215500	g12752	0.1124020713252765	0.5240197104234451	5593.0
Cre04.g215550	g12751	0.2035203639870293	0.651949344921969	1166.0
Cre04.g215600	g12758	0.1361085231041366	0.6639803897656409	716.0
Cre04.g215650	g12756	0.1513401686865435	0.48579727565186437	1010.0
Cre04.g215750	g12760	0.0526260168916863	0.5893049755408277	1014.0
Cre04.g215800	g12761	0.0938060618031039	0.5827112114394952	6960.0
Cre04.g215850	g12762	0.0149491090473864	0.2567146548649745	1632.0
Cre04.g215900	g12759	0.163731098859552	0.8293549232266024	2712.0
Cre04.g215950	g12764	0.0587181214245974	0.5703381468420389	1846.0
Cre04.g216000	g12765	0.1481173337003445	0.8130499332492981	2562.0
Cre04.g216050	g12766	0.1305645960391514	0.7116051491472725	10437.0
Cre04.g216100	g12768	0.0306734197261262	0.4550922090208007	547.0
