CSCH	JG05	MALA	CREN	CINC
g14868	JG24_g134	Mal24_g14813	Cre16.g657450	g939
g14866	JG24_g136	Mal24_g14811	Cre16.g657550	g941
g14864	JG24_g138	Mal24_g14809	Cre16.g657650	g943
g14861	JG24_g142	Mal24_g14806	Cre16.g657800	g946
g14860	JG24_g143	Mal24_g14805	Cre16.g657850	g947
g14855	JG24_g149	Mal24_g14800	Cre16.g801897	g952
g14845	JG24_g160	Mal24_g14790	Cre16.g658400	g963
g14842	JG24_g163	Mal24_g14787	Cre16.g658600	g966
g14841	JG24_g164	Mal24_g14786	Cre16.g658650	g967
g14839	JG24_g168	Mal24_g14782	Cre16.g658800	g970
g14838	JG24_g169	Mal24_g14781	Cre16.g658850	g971
g14823	JG24_g182	Mal24_g14772	Cre16.g659200	g980
g14821	JG24_g186	Mal24_g14769	Cre16.g659350	g982
g14820	JG24_g187	Mal24_g14768	Cre16.g659400	g983
g14814	JG24_g195	Mal24_g14762	Cre16.g659800	g991
g14813	JG24_g196	Mal24_g14761	Cre16.g659850	g992
g14812	JG24_g197	Mal24_g14760	Cre16.g659900	g993
g14811	JG24_g198	Mal24_g14759	Cre16.g659950	g994
g14810	JG24_g199	Mal24_g14758	Cre16.g660000	g995
g14804	JG24_g205	Mal24_g14752	Cre16.g660225	g1000
g14795	JG24_g212	Mal24_g14745	Cre16.g660800	g1012
g14792	JG24_g215	Mal24_g14742	Cre16.g660900	g1015
g14789	JG24_g219	Mal24_g14738	Cre16.g661100	g1017
g14788	JG24_g220	Mal24_g14737	Cre16.g661150	g1018
g14784	JG24_g224	Mal24_g14733	Cre16.g661350	g1022
g14776	JG24_g232	Mal24_g14724	Cre16.g661700	g1029
g14769	JG24_g238	Mal24_g14719	Cre16.g662000	g1035
g14767	JG24_g240	Mal24_g14717	Cre16.g662150	g1037
g14766	JG24_g241	Mal24_g14716	Cre16.g662200	g1038
g14763	JG24_g242	Mal24_g14714	Cre16.g662250	g1039
g14762	JG24_g243	Mal24_g14713	Cre16.g662300	g1040
g14756	JG24_g247	Mal24_g14709	Cre16.g662550	g1044
g14755	JG24_g248	Mal24_g14708	Cre16.g662600	g1045
g14754	JG24_g249	Mal24_g14707	Cre16.g662650	g1046
g14753	JG24_g251	Mal24_g14706	Cre16.g801920	g1047
g14751	JG24_g256	Mal24_g14704	Cre16.g662800	g1049
g14750	JG24_g257	Mal24_g14703	Cre16.g662902	g1050
g14748	JG24_g259	Mal24_g14701	Cre16.g662950	g1051
g14746	JG24_g261	Mal24_g14699	Cre16.g663050	g1053
g14745	JG24_g262	Mal24_g14698	Cre16.g663100	g1054
g14744	JG24_g263	Mal24_g14697	Cre16.g663150	g1055
g14743	JG24_g264	Mal24_g14695	Cre16.g663200	g1056
g14741	JG24_g266	Mal24_g14693	Cre16.g663350	g1058
g14740	JG24_g267	Mal24_g14692	Cre16.g663400	g1059
g14737	JG24_g272	Mal24_g14689	Cre16.g663600	g1062
g14736	JG24_g273	Mal24_g14688	Cre16.g663650	g1063
g14735	JG24_g274	Mal24_g14687	Cre16.g663700	g1064
g14732	JG24_g276	Mal24_g14680	Cre16.g663800	g1066
g14731	JG24_g277	Mal24_g14679	Cre16.g663850	g1067
g14729	JG24_g278	Mal24_g14677	Cre16.g663900	g1069
g14728	JG24_g280	Mal24_g14676	Cre16.g663950	g1070
g14727	JG24_g281	Mal24_g14675	Cre16.g664000	g1071
g14726	JG24_g282	Mal24_g14674	Cre16.g664050	g1072
g14723	JG24_g285	Mal24_g14670	Cre16.g664200	g1075
g14722	JG24_g286	Mal24_g14669	Cre16.g664250	g1076
g14720	JG24_g288	Mal24_g14667	Cre16.g664350	g1079
g14719	JG24_g289	Mal24_g14666	Cre16.g664400	g1080
g14717	JG24_g291	Mal24_g14664	Cre16.g664500	g1082
g14716	JG24_g292	Mal24_g14663	Cre16.g664550	g1083
g14715	JG24_g293	Mal24_g14662	Cre16.g664600	g1085
g14711	JG24_g297	Mal24_g14658	Cre16.g664850	g1089
g14709	JG24_g299	Mal24_g14656	Cre16.g665000	g1093
g14706	JG24_g302	Mal24_g14653	Cre16.g665200	g1096
g14705	JG24_g303	Mal24_g14652	Cre16.g665250	g1097
g14704	JG24_g304	Mal24_g14651	Cre16.g665300	g1098
g14703	JG24_g305	Mal24_g14650	Cre16.g665364	g1099
g14701	JG24_g307	Mal24_g14649	Cre16.g665400	g1100
g14700	JG24_g308	Mal24_g14648	Cre16.g665450	g1101
g14699	JG24_g310	Mal24_g14647	Cre16.g665500	g1102
g14698	JG24_g311	Mal24_g14646	Cre16.g665550	g1103
g14697	JG24_g312	Mal24_g14645	Cre16.g665600	g1104
g14696	JG24_g313	Mal24_g14643	Cre16.g665650	g1105
g14695	JG24_g314	Mal24_g14642	Cre16.g665700	g1106
g14694	JG24_g315	Mal24_g14641	Cre16.g665750	g1107
g14693	JG24_g316	Mal24_g14640	Cre16.g665800	g1108
g14692	JG24_g317	Mal24_g14639	Cre16.g665850	g1109
g14690	JG24_g319	Mal24_g14637	Cre16.g665950	g1110
g14689	JG24_g321	Mal24_g14635	Cre16.g666050	g1112
g14688	JG24_g322	Mal24_g14634	Cre16.g666100	g1113
g14687	JG24_g323	Mal24_g14633	Cre16.g666150	g1114
g14686	JG24_g324	Mal24_g14632	Cre16.g666200	g1115
g14683	JG24_g330	Mal24_g14628	Cre16.g666334	g1120
g14682	JG24_g331	Mal24_g14627	Cre16.g666400	g1121
g14680	JG24_g333	Mal24_g14624	Cre16.g666500	g1123
g14679	JG24_g334	Mal24_g14623	Cre16.g666550	g1125
g4729	JG24_g357	Mal24_g13663	Cre16.g670261	g4160
g4731	JG24_g358	Mal24_g13664	Cre16.g670617	g4159
g4732	JG24_g359	Mal24_g3744	Cre16.g670973	g4158
g4733	JG24_g360	Mal24_g13665	Cre16.g671329	g4157
g4737	JG24_g364	Mal24_g13668	Cre16.g672397	g4154
g4738	JG24_g365	Mal24_g13670	Cre16.g672753	g4152
g4739	JG24_g366	Mal24_g13671	Cre16.g673109	g4151
g4742	JG24_g367	Mal24_g13672	Cre16.g673821	g4150
g4743	JG24_g369	Mal24_g13673	Cre16.g674534	g4149
g4744	JG24_g370	Mal24_g13674	Cre16.g674890	g4148
g4745	JG24_g371	Mal24_g13676	Cre16.g675246	g4147
g4746	JG24_g372	Mal24_g13677	Cre16.g675602	g4146
g4747	JG24_g373	Mal24_g13678	Cre16.g675958	g4144
g4748	JG24_g374	Mal24_g13679	Cre16.g676314	g4143
g4761	JG24_g375	Mal24_g13693	Cre16.g677026	g4142
g4757	JG24_g378	Mal24_g13690	Cre16.g678808	g4138
g4756	JG24_g379	Mal24_g13688	Cre16.g679164	g4137
g4753	JG24_g382	Mal24_g13684	Cre16.g680588	g4134
g4751	JG24_g383	Mal24_g13682	Cre16.g680944	g4133
g4750	JG24_g384	Mal24_g13681	Cre16.g681301	g4132
g4763	JG24_g387	Mal24_g13695	Cre16.g682369	g4129
g4764	JG24_g388	Mal24_g13696	Cre16.g682725	g4128
g4765	JG24_g389	Mal24_g13697	Cre16.g683081	g4126
g4769	JG24_g390	Mal24_g13699	Cre16.g683437	g4125
g4773	JG24_g394	Mal24_g13703	Cre16.g685217	g4122
g4774	JG24_g397	Mal24_g13704	Cre16.g685573	g4121
g4778	JG24_g400	Mal24_g13707	Cre16.g688450	g4118
g4780	JG24_g403	Mal24_g13709	Cre16.g688550	g4115
g4781	JG24_g404	Mal24_g13710	Cre16.g688650	g4114
g4784	JG24_g407	Mal24_g13713	Cre16.g688800	g4109
g4785	JG24_g408	Mal24_g13714	Cre16.g688850	g4108
g4791	JG24_g415	Mal24_g13721	Cre16.g689001	g4103
g4792	JG24_g416	Mal24_g13722	Cre16.g689050	g4102
g4794	JG24_g418	Mal24_g13724	Cre16.g689150	g4100
g4795	JG24_g419	Mal24_g13725	Cre16.g689250	g4099
g4798	JG24_g422	Mal24_g13729	Cre16.g689600	g4095
g4799	JG24_g423	Mal24_g13730	Cre16.g689650	g4094
g4800	JG24_g424	Mal24_g13731	Cre16.g689700	g4093
g4802	JG24_g428	Mal24_g13735	Cre16.g690000	g4089
g4803	JG24_g429	Mal24_g13736	Cre16.g690050	g4088
g4804	JG24_g430	Mal24_g13737	Cre16.g690100	g4087
g4805	JG24_g431	Mal24_g13738	Cre16.g690130	g4086
g4806	JG24_g432	Mal24_g13739	Cre16.g690150	g4085
g4807	JG24_g433	Mal24_g13740	Cre16.g690200	g4084
g4808	JG24_g434	Mal24_g13741	Cre16.g690250	g4083
g4809	JG24_g435	Mal24_g13742	Cre16.g690300	g4082
g4810	JG24_g436	Mal24_g13743	Cre16.g690350	g4081
g4813	JG24_g438	Mal24_g13745	Cre16.g690450	g4079
g4814	JG24_g439	Mal24_g13746	Cre16.g690500	g4078
g4821	JG24_g452	Mal24_g13752	Cre16.g670400	g4071
g4817	JG24_g455	Mal24_g13749	Cre16.g670250	g4074
g4816	JG24_g456	Mal24_g13748	Cre16.g670200	g4075
g4826	JG24_g459	Mal24_g13758	Cre16.g670050	g4065
g7020	JG24_g461	Mal24_g13760	Cre16.g669950	g4053
g7021	JG24_g462	Mal24_g13761	Cre16.g669900	g4054
g7022	JG24_g463	Mal24_g13762	Cre16.g669800	g4055
g7025	JG24_g466	Mal24_g13766	Cre16.g669650	g4058
g7027	JG24_g468	Mal24_g13768	Cre16.g669550	g4060
g7034	JG24_g476	Mal24_g13775	Cre16.g668900	g4048
g7035	JG24_g479	Mal24_g13776	Cre16.g668800	g4047
g7037	JG24_g481	Mal24_g13779	Cre16.g668700	g4045
g7039	JG24_g483	Mal24_g13781	Cre16.g668600	g4043
g7040	JG24_g484	Mal24_g13782	Cre16.g668550	g4042
g7041	JG24_g485	Mal24_g13783	Cre16.g668050	g4034
g7043	JG24_g492	Mal24_g13785	Cre16.g668150	g4036
g7044	JG24_g494	Mal24_g13786	Cre16.g668200	g4037
g7047	JG24_g498	Mal24_g13789	Cre16.g668350	g4040
g7049	JG24_g500	Mal24_g13791	Cre16.g668000	g4033
g7050	JG24_g506	Mal24_g13793	Cre16.g667850	g4027
g7054	JG24_g508	Mal24_g13798	Cre16.g667750	g4025
g7059	JG24_g511	Mal24_g13803	Cre16.g801958	g4023
g7060	JG24_g513	Mal24_g13804	Cre16.g671500	g4022
g7061	JG24_g514	Mal24_g13805	Cre16.g671450	g4021
g7063	JG24_g517	Mal24_g13807	Cre16.g671300	g4018
g7067	JG24_g520	Mal24_g13811	Cre16.g671100	g4014
g7069	JG24_g524	Mal24_g13816	Cre16.g670950	g4011
g7073	JG24_g528	Mal24_g13820	Cre16.g670750	g4008
g7075	JG24_g531	Mal24_g13822	Cre16.g667450	g4005
g7078	JG24_g534	Mal24_g13825	Cre16.g667250	g4002
g7081	JG24_g537	Mal24_g13827	Cre16.g667100	g3999
g7084	JG24_g539	Mal24_g13829	Cre16.g688050	g3997
g7086	JG24_g541	Mal24_g13831	Cre16.g687950	g3995
g7087	JG24_g542	Mal24_g13832	Cre16.g687900	g3993
g7089	JG24_g544	Mal24_g13834	Cre16.g687800	g3991
g7090	JG24_g545	Mal24_g13835	Cre16.g687750	g3990
g7092	JG24_g547	Mal24_g13837	Cre16.g687650	g3988
g7094	JG24_g549	Mal24_g13839	Cre16.g687550	g3986
g7095	JG24_g551	Mal24_g13841	Cre16.g687500	g3985
g7100	JG24_g557	Mal24_g13846	Cre16.g687350	g3982
g7101	JG24_g558	Mal24_g13847	Cre16.g687300	g3981
g7103	JG24_g561	Mal24_g13849	Cre16.g687200	g3979
g7109	JG24_g570	Mal24_g13856	Cre16.g686900	g3973
g7110	JG24_g571	Mal24_g13857	Cre16.g686850	g3972
g7116	JG24_g577	Mal24_g13862	Cre16.g686550	g3966
g7118	JG24_g579	Mal24_g13864	Cre16.g686500	g3964
g7120	JG24_g583	Mal24_g13866	Cre16.g686400	g3960
g7130	JG24_g598	Mal24_g13878	Cre16.g685901	g3949
g7132	JG24_g600	Mal24_g13880	Cre16.g685750	g3947
g7134	JG24_g602	Mal24_g13882	Cre16.g685700	g3945
g7136	JG24_g604	Mal24_g13884	Cre16.g685550	g3942
g7139	JG24_g607	Mal24_g13886	Cre16.g685400	g3939
g7140	JG24_g608	Mal24_g13887	Cre16.g685350	g3938
g7142	JG24_g610	Mal24_g13889	Cre16.g685250	g3937
g7145	JG24_g613	Mal24_g13892	Cre16.g685100	g3934
g7146	JG24_g614	Mal24_g13893	Cre16.g685050	g3933
g7147	JG24_g618	Mal24_g13894	Cre16.g685000	g3932
g7149	JG24_g620	Mal24_g13896	Cre16.g684950	g3931
g7151	JG24_g623	Mal24_g13899	Cre16.g684800	g3928
g7152	JG24_g624	Mal24_g13900	Cre16.g684750	g3927
g7153	JG24_g625	Mal24_g13901	Cre16.g684700	g3926
g7158	JG24_g631	Mal24_g13906	Cre16.g684450	g3922
g7159	JG24_g632	Mal24_g13907	Cre16.g684350	g3920
g7160	JG24_g633	Mal24_g13908	Cre16.g684300	g3918
g7163	JG24_g637	Mal24_g13910	Cre16.g684150	g3916
g7165	JG24_g639	Mal24_g13912	Cre16.g684065	g3914
g7169	JG24_g641	Mal24_g13916	Cre16.g683950	g3910
g7173	JG24_g647	Mal24_g13921	Cre16.g683750	g3905
g7174	JG24_g648	Mal24_g13922	Cre16.g683700	g3904
g7175	JG24_g649	Mal24_g13923	Cre16.g683650	g3903
g7177	JG24_g652	Mal24_g13926	Cre16.g683500	g3900
g7178	JG24_g653	Mal24_g13927	Cre16.g683450	g3899
g7180	JG24_g655	Mal24_g13929	Cre16.g683350	g3897
g7181	JG24_g657	Mal24_g13930	Cre16.g683300	g3896
g7182	JG24_g658	Mal24_g13931	Cre16.g683250	g3895
g7183	JG24_g659	Mal24_g13932	Cre16.g683200	g3894
g7184	JG24_g660	Mal24_g13933	Cre16.g683150	g3893
g7186	JG24_g663	Mal24_g13935	Cre16.g683050	g3891
g7190	JG24_g666	Mal24_g13938	Cre16.g682900	g3887
g11395	JG24_g678	Mal24_g5356	Cre16.g682450	g3878
g11396	JG24_g679	Mal24_g5357	Cre16.g682350	g3877
g11397	JG24_g680	Mal24_g5358	Cre16.g682300	g3876
g11401	JG24_g684	Mal24_g5362	Cre16.g682100	g3872
g11404	JG24_g687	Mal24_g5364	Cre16.g681900	g3869
g11405	JG24_g688	Mal24_g5365	Cre16.g681850	g3868
g11409	JG24_g693	Mal24_g5368	Cre16.g681600	g3864
g11410	JG24_g694	Mal24_g5369	Cre16.g681550	g3863
g11411	JG24_g695	Mal24_g5370	Cre16.g681500	g3862
g11415	JG24_g700	Mal24_g5374	Cre16.g680950	g3855
g11416	JG24_g701	Mal24_g5375	Cre16.g680900	g3853
g11421	JG24_g708	Mal24_g5380	Cre16.g680700	g3846
g11424	JG24_g710	Mal24_g5382	Cre16.g680600	g3844
g11427	JG24_g715	Mal24_g5385	Cre16.g680450	g3841
g11429	JG24_g717	Mal24_g5387	Cre16.g680300	g3839
g11430	JG24_g718	Mal24_g5388	Cre16.g680250	g3838
g11436	JG24_g724	Mal24_g5393	Cre16.g680000	g3833
g11438	JG24_g725	Mal24_g5396	Cre16.g679950	g3831
g11443	JG24_g729	Mal24_g5400	Cre16.g679750	g3827
g11448	JG24_g732	Mal24_g5403	Cre16.g679600	g3824
g11449	JG24_g733	Mal24_g5404	Cre16.g679550	g3823
g11450	JG24_g734	Mal24_g5405	Cre16.g679500	g3822
g11451	JG24_g735	Mal24_g5406	Cre16.g679450	g3821
g11454	JG24_g742	Mal24_g5409	Cre16.g679300	g3819
g11455	JG24_g743	Mal24_g5410	Cre16.g679250	g3818
g11457	JG24_g745	Mal24_g5414	Cre16.g679150	g15641
g11458	JG24_g746	Mal24_g5415	Cre16.g679051	g15642
g11464	JG24_g754	Mal24_g5421	Cre16.g678650	g15648
g11465	JG24_g755	Mal24_g5422	Cre16.g678600	g15649
g11468	JG24_g758	Mal24_g5425	Cre16.g678450	g15652
g11469	JG24_g759	Mal24_g5426	Cre16.g678400	g15653
g11470	JG24_g760	Mal24_g5427	Cre16.g678350	g15654
g11478	JG24_g765	Mal24_g5431	Cre16.g678100	g15657
g11480	JG24_g767	Mal24_g5433	Cre16.g678000	g15659
g11481	JG24_g768	Mal24_g5434	Cre16.g677950	g15660
g11483	JG24_g770	Mal24_g5436	Cre16.g677850	g15662
g11493	JG24_g778	Mal24_g5444	Cre16.g677500	g15669
g11492	JG24_g779	Mal24_g5443	Cre16.g677450	g15670
g11491	JG24_g780	Mal24_g5442	Cre16.g801985	g15671
g11496	JG24_g782	Mal24_g5448	Cre16.g677250	g15673
g11498	JG24_g783	Mal24_g5450	Cre16.g677150	g15674
g11500	JG24_g785	Mal24_g5453	Cre16.g677050	g15676
g11503	JG24_g788	Mal24_g5456	Cre16.g676900	g15679
g11505	JG24_g790	Mal24_g5458	Cre16.g676800	g15681
g11508	JG24_g793	Mal24_g5461	Cre16.g676650	g15684
g11509	JG24_g794	Mal24_g5462	Cre16.g676600	g15685
g11510	JG24_g795	Mal24_g5463	Cre16.g676550	g15686
g11514	JG24_g798	Mal24_g5466	Cre16.g676450	g15688
g11518	JG24_g802	Mal24_g5473	Cre16.g676250	g15693
g11520	JG24_g804	Mal24_g5475	Cre16.g676150	g15695
g11524	JG24_g809	Mal24_g5482	Cre16.g676050	g15698
g11534	JG24_g822	Mal24_g5495	Cre16.g675650	g15706
g11536	JG24_g825	Mal24_g5498	Cre16.g675550	g15709
g11537	JG24_g826	Mal24_g5499	Cre16.g675500	g15710
g11538	JG24_g827	Mal24_g5500	Cre16.g675450	g15711
g11540	JG24_g829	Mal24_g5502	Cre16.g675350	g15713
g11542	JG24_g830	Mal24_g5503	Cre16.g675300	g15714
g11574	JG24_g836	Mal24_g5540	Cre16.g673650	g15747
g11572	JG24_g838	Mal24_g5538	Cre16.g673852	g15745
g11571	JG24_g839	Mal24_g5537	Cre16.g673850	g15744
g11568	JG24_g844	Mal24_g5530	Cre16.g674000	g15739
g11567	JG24_g845	Mal24_g5529	Cre16.g674050	g15738
g11564	JG24_g849	Mal24_g5526	Cre16.g674200	g15735
g11562	JG24_g851	Mal24_g5524	Cre16.g674300	g15733
g11561	JG24_g852	Mal24_g5523	Cre16.g674350	g15732
g11560	JG24_g853	Mal24_g5522	Cre16.g674400	g15731
g11554	JG24_g858	Mal24_g5517	Cre16.g674650	g15726
g11553	JG24_g859	Mal24_g5516	Cre16.g674700	g15725
g11551	JG24_g862	Mal24_g5513	Cre16.g674800	g15723
g11547	JG24_g865	Mal24_g5509	Cre16.g674950	g15720
g11546	JG24_g867	Mal24_g5508	Cre16.g675000	g15719
g11581	JG24_g870	Mal24_g5547	Cre16.g673550	g15751
g11577	JG24_g875	Mal24_g5543	Cre16.g673150	g15756
g11600	JG24_g878	Mal24_g5551	Cre16.g673001	g15762
g11601	JG24_g881	Mal24_g5552	Cre16.g672850	g15763
g11602	JG24_g882	Mal24_g5553	Cre16.g672800	g15764
g11603	JG24_g883	Mal24_g5555	Cre16.g672750	g15765
g11604	JG24_g885	Mal24_g5556	Cre16.g672650	g15766
g11605	JG24_g886	Mal24_g5557	Cre16.g672600	g15767
g11610	JG24_g891	Mal24_g5564	Cre16.g672300	g15773
g11611	JG24_g892	Mal24_g5566	Cre16.g672250	g15774
g11616	JG24_g899	Mal24_g5571	Cre16.g672050	g15778
g11618	JG24_g901	Mal24_g5573	Cre16.g671950	g15780
g11619	JG24_g903	Mal24_g5574	Cre16.g671900	g15781
g11628	JG24_g911	Mal24_g5582	Cre16.g672049	g15791
g11631	JG24_g914	Mal24_g5585	Cre16.g672385	g15794
g11632	JG24_g915	Mal24_g5586	Cre16.g672497	g15795
g11636	JG24_g919	Mal24_g5590	Cre16.g673281	g15798
g11638	JG24_g921	Mal24_g5592	Cre16.g673505	g15800
g11639	JG24_g922	Mal24_g5593	Cre16.g673617	g15801
g11640	JG24_g923	Mal24_g5594	Cre16.g673729	g15802
g11641	JG24_g924	Mal24_g5595	Cre16.g673841	g15803
g11642	JG24_g925	Mal24_g5596	Cre16.g673953	g15804
g11643	JG24_g926	Mal24_g5597	Cre16.g674065	g15805
g11645	JG24_g930	Mal24_g5601	Cre16.g674403	g15808
g11647	JG24_g932	Mal24_g5603	Cre16.g674627	g15810
g11654	JG24_g939	Mal24_g5609	Cre16.g675301	g15816
g11656	JG24_g941	Mal24_g5611	Cre16.g675637	g15818
g11659	JG24_g944	Mal24_g5614	Cre16.g676085	g15821
g11660	JG24_g945	Mal24_g5615	Cre16.g676197	g15822
g11661	JG24_g946	Mal24_g5616	Cre16.g676309	g15823
g5057	JG24_g951	Mal24_g15665	Cre08.g379550	g13584
g5059	JG24_g953	Mal24_g15667	Cre08.g379650	g13581
g5060	JG24_g954	Mal24_g15668	Cre08.g379700	g13580
g5061	JG24_g955	Mal24_g15669	Cre08.g379750	g13579
g5066	JG24_g960	Mal24_g15675	Cre08.g379950	g13575
g5067	JG24_g961	Mal24_g15676	Cre08.g380000	g13572
g5069	JG24_g963	Mal24_g15678	Cre08.g380201	g13570
g5070	JG24_g964	Mal24_g15679	Cre08.g380250	g13569
g5071	JG24_g965	Mal24_g15680	Cre08.g380300	g13568
g5074	JG24_g967	Mal24_g15682	Cre08.g380400	g13566
g5084	JG24_g983	Mal24_g15695	Cre08.g381450	g3169
g5088	JG24_g986	Mal24_g15697	Cre08.g381516	g3171
g5092	JG24_g990	Mal24_g15701	Cre08.g381702	g3175
g5093	JG24_g991	Mal24_g15702	Cre08.g381800	g3176
g5103	JG24_g1003	Mal24_g15714	Cre08.g382300	g3185
g5104	JG24_g1004	Mal24_g15716	Cre08.g382350	g3187
g5106	JG24_g1006	Mal24_g15718	Cre08.g382450	g3190
g5107	JG24_g1007	Mal24_g15719	Cre08.g382500	g3191
g5111	JG24_g1011	Mal24_g15723	Cre08.g382560	g3196
g5112	JG24_g1012	Mal24_g15724	Cre08.g382575	g3197
g5113	JG24_g1013	Mal24_g15726	Cre08.g382590	g3199
g5115	JG24_g1015	Mal24_g15728	Cre08.g382650	g3201
g5116	JG24_g1016	Mal24_g15730	Cre08.g382800	g3206
g5118	JG24_g1018	Mal24_g15732	Cre08.g382850	g3208
g5120	JG24_g1020	Mal24_g15734	Cre08.g382950	g3210
g7439	JG24_g1022	Mal24_g15737	Cre08.g383050	g3212
g7440	JG24_g1023	Mal24_g15738	Cre08.g383101	g3213
g7443	JG24_g1024	Mal24_g15745	Cre08.g383150	g3215
g7445	JG24_g1027	Mal24_g15747	Cre08.g383250	g3217
g7452	JG24_g1035	Mal24_g15753	Cre08.g383550	g3224
g7462	JG24_g1048	Mal24_g15770	Cre08.g384250	g3237
g15711	JG24_g1052	Mal24_g15773	Cre08.g384355	g7459
g15706	JG24_g1057	Mal24_g15778	Cre08.g384600	g7455
g15704	JG24_g1059	Mal24_g15780	Cre08.g384700	g7453
g15703	JG24_g1060	Mal24_g15781	Cre08.g384750	g7450
g15702	JG24_g1061	Mal24_g15782	Cre08.g384800	g7449
g15696	JG24_g1064	Mal24_g15785	Cre08.g384900	g7445
g15691	JG24_g1068	Mal24_g15789	Cre08.g385100	g7441
g15689	JG24_g1070	Mal24_g15791	Cre08.g385200	g7439
g15685	JG24_g1075	Mal24_g15796	Cre08.g385450	g7433
g15684	JG24_g1076	Mal24_g15797	Cre08.g385500	g7432
g15681	JG24_g1079	Mal24_g15800	Cre08.g385650	g7429
g15679	JG24_g1081	Mal24_g15801	Cre08.g385700	g7428
g15675	JG24_g1084	Mal24_g15805	Cre08.g385900	g7423
g15672	JG24_g1087	Mal24_g15808	Cre08.g386050	g7420
g1872	JG24_g1110	Mal24_g3473	Cre13.g569450	g1857
g1865	JG24_g1112	Mal24_g3475	Cre13.g569350	g1861
g1862	JG24_g1114	Mal24_g3478	Cre13.g569250	g1868
g1861	JG24_g1115	Mal24_g3479	Cre13.g569200	g1869
g1860	JG24_g1116	Mal24_g3480	Cre13.g568950	g1870
g1859	JG24_g1117	Mal24_g3481	Cre13.g568900	g1871
g1858	JG24_g1118	Mal24_g3482	Cre13.g568850	g1872
g1857	JG24_g1119	Mal24_g3483	Cre13.g568800	g1873
g1854	JG24_g1123	Mal24_g3486	Cre13.g568650	g1878
g1829	JG24_g1128	Mal24_g3491	Cre13.g568400	g1883
g10563	JG24_g1132	Mal24_g3496	Cre13.g568200	g1888
g10561	JG24_g1133	Mal24_g3499	Cre13.g568150	g1891
g10557	JG24_g1137	Mal24_g3503	Cre13.g568000	g1897
g10556	JG24_g1138	Mal24_g3504	Cre13.g567950	g1898
g10555	JG24_g1139	Mal24_g3505	Cre13.g567901	g1899
g10553	JG24_g1141	Mal24_g3507	Cre13.g567800	g1901
g10550	JG24_g1144	Mal24_g3510	Cre13.g567650	g1904
g10549	JG24_g1145	Mal24_g3512	Cre13.g567600	g1906
g10548	JG24_g1146	Mal24_g3513	Cre13.g567550	g1907
g10545	JG24_g1150	Mal24_g3517	Cre13.g567363	g1913
g10541	JG24_g1156	Mal24_g3523	Cre13.g567150	g1918
g10540	JG24_g1157	Mal24_g3524	Cre13.g567100	g1919
g10539	JG24_g1160	Mal24_g3528	Cre13.g566750	g1922
g10538	JG24_g1161	Mal24_g3531	Cre13.g566800	g1923
g10537	JG24_g1162	Mal24_g3532	Cre13.g566850	g1924
