CINC	CREN	CSCH	MALA	JG05
g523	Cre06.g282100			
g524	Cre06.g282050			
g525	Cre06.g282000			
g526	Cre06.g281950			
g527	Cre06.g281900			
g528	Cre06.g281800			
g529	Cre06.g281766			
g530	Cre06.g281700			
g531	Cre06.g281600			
g532	Cre06.g281563			
g533	Cre06.g281526			
g535	Cre06.g281450			
g536	Cre06.g281400			
g537	Cre06.g281350			
g539	Cre06.g281250			
g540	Cre06.g281200			
g541	Cre06.g281150			
g542	Cre06.g281100			
g543	Cre06.g281050			
g544	Cre06.g281000			
g545	Cre06.g280950			
g546	Cre06.g280900			
g547	Cre06.g280850			
g548	Cre06.g280800			
g549	Cre06.g280750			
g550	Cre06.g280700			
g551	Cre06.g280650			
g552	Cre06.g280600			
g553	Cre06.g280550			
g554	Cre06.g280500			
g555	Cre06.g280475			
g556	Cre06.g280450			
g557	Cre06.g280420			
g559	Cre06.g280385			
g560	Cre06.g280350			
g561	Cre06.g280300			
g562	Cre06.g280250			
g563	Cre06.g280227			
g564	Cre06.g280200			
g565	Cre06.g280150			
g566	Cre06.g280100			
g567	Cre06.g280050			
g568	Cre06.g279950			
g569	Cre06.g279900			
g570	Cre06.g279850			
g571	Cre06.g279800			
g572	Cre06.g279750			
g573	Cre06.g279700			
g574	Cre06.g279650			
g575	Cre06.g279600			
g576	Cre06.g279550			
g577	Cre06.g279500			
g578	Cre06.g279474			
g579	Cre06.g279400			
g580	Cre06.g279350			
g581	Cre06.g279300			
g582	Cre06.g279250			
g583	Cre06.g279150			
g584	Cre06.g279100			
g585	Cre06.g279000			
g586	Cre06.g278950			
g587	Cre06.g278900			
g588	Cre06.g278850			
g589	Cre06.g278800			
g590	Cre06.g278750			
g591	Cre06.g278700			
g594	Cre06.g278650			
g595	Cre06.g278600			
g596	Cre06.g278585			
g597	Cre06.g278550			
g598	Cre06.g278500			
g599	Cre06.g278451			
g600	Cre06.g278400			
g601	Cre06.g278350			
g602	Cre06.g278300			
g603	Cre06.g278250			
g604	Cre06.g278200			
g617	Cre16.g695600			
g618	Cre16.g695550			
g619	Cre16.g695500			
g620	Cre16.g695450			
g622	Cre16.g695400			
g623	Cre16.g695350			
g626	Cre16.g695300			
g628	Cre16.g695218			
g629	Cre16.g695100			
g630	Cre16.g695050			
g631	Cre16.g694900			
g632	Cre16.g694850			
g633	Cre16.g694809			
g635	Cre16.g694800			
g636	Cre16.g694750			
g637	Cre16.g694700			
g638	Cre16.g694703			
g639	Cre16.g694704			
g643	Cre16.g694500			
g644	Cre16.g694450			
g645	Cre16.g694400			
g646	Cre16.g694402			
g647	Cre16.g694300			
g648	Cre16.g694250			
g649	Cre16.g694200			
g651	Cre16.g694202			
g652	Cre16.g694203			
g653	Cre16.g694204			
g658	Cre02.g085400			
g659	Cre16.g694207			
g660	Cre16.g694208			
g661	Cre16.g694000			
g662	Cre16.g693950			
g663	Cre16.g693900			
g664	Cre16.g693819			
g666	Cre16.g693750			
g668	Cre16.g691755			
g672	Cre16.g693700			
g673	Cre16.g693650			
g674	Cre16.g693600			
g675	Cre16.g693601			
g676	Cre16.g693500			
g677	Cre16.g693450			
g678	Cre16.g693400			
g679	Cre16.g801869			
g680	Cre16.g693300			
g682	Cre16.g693200			
g683	Cre16.g693203			
g684	Cre16.g801871			
g685	Cre16.g693204			
g686	Cre16.g801870			
g687	Cre16.g692901			
g688	Cre16.g692902			
g689	Cre16.g692800			
g690	Cre16.g692750			
g691	Cre16.g692751			
g692	Cre16.g692650			
g693	Cre16.g692600			
g694	Cre16.g692585			
g696	Cre16.g692550			
g697	Cre16.g692500			
g698	Cre16.g692450			
g700	Cre16.g692350			
g702	Cre16.g692300			
g703	Cre16.g692250			
g704	Cre16.g692200			
g705	Cre16.g692150			
g706	Cre16.g692100			
g707	Cre16.g692050			
g708	Cre16.g692000			
g712	Cre16.g691900			
g713	Cre16.g691850			
g714	Cre16.g691800			
g715	Cre16.g691750			
g719	Cre16.g691500			
g720	Cre16.g691450			
g721	Cre16.g691351			
g723	Cre16.g691353			
g724	Cre16.g691200			
g725	Cre16.g691150			
g726	Cre16.g691050			
g727	Cre16.g691000			
g728	Cre16.g690950			
g729	Cre16.g690900			
g730	Cre16.g690750			
g731	Cre16.g690700			
g733	Cre16.g647500			
g734	Cre16.g647534			
g735	Cre16.g647550			
g736	Cre16.g801884			
g737	Cre16.g801885			
g738	Cre16.g647800			
g739	Cre16.g647850			
g743	Cre16.g647950			
g744	Cre16.g648000			
g745	Cre16.g801886			
g746	Cre16.g648100			
g747	Cre16.g648150			
g749	Cre16.g648200			
g750	Cre16.g648250			
g754	Cre16.g648300			
g755	Cre16.g648350			
g756	Cre16.g648400			
g757	Cre16.g648451			
g758	Cre16.g648550			
g759	Cre16.g648650			
g760	Cre16.g648700			
g761	Cre16.g648750			
g763	Cre16.g648800			
g764	Cre16.g648850			
g765	Cre16.g648900			
g766	Cre16.g648950			
g767	Cre16.g649000			
g768	Cre16.g649050			
g769	Cre16.g649100			
g770	Cre16.g649150			
g771	Cre16.g649200			
g772	Cre16.g649250			
g773	Cre16.g649300			
g774	Cre16.g649350			
g775	Cre16.g649400			
g776	Cre16.g649433			
g777	Cre16.g649466			
g781	Cre16.g649550			
g783	Cre16.g649600			
g784	Cre16.g649650			
g785	Cre16.g649700			
g786	Cre16.g649750			
g787	Cre16.g649800			
g789	Cre16.g649833			
g792	Cre16.g650000			
g793	Cre16.g650050			
g794	Cre16.g650100			
g795	Cre16.g650151			
g796	Cre16.g650200			
g799	Cre16.g650350			
g800	Cre16.g650400			
g801	Cre16.g650450			
g802	Cre16.g650500			
g803	Cre16.g650550			
g804	Cre16.g650600			
g805	Cre16.g650625			
g806	Cre16.g650650			
g807	Cre16.g651450			
g808	Cre16.g650750			
g809	Cre16.g650900			
g811	Cre16.g650950			
g812	Cre16.g651000			
g813	Cre16.g651050			
g814	Cre16.g651100			
g815	Cre16.g651150			
g818	Cre16.g651350			
g819	Cre16.g651400			
g821	Cre16.g651500			
g822	Cre16.g651550			
g823	Cre16.g651700			
g824	Cre16.g651750			
g825	Cre16.g651801			
g826	Cre16.g651923			
g828	Cre16.g801890			
g830	Cre16.g652050			
g831	Cre16.g652100			
g834	Cre16.g652150			
g835	Cre16.g652200			
g837	Cre16.g652300			
g838	Cre16.g652350			
g839	Cre16.g652400			
g840	Cre16.g652450			
g843	Cre16.g652550			
g844	Cre16.g652600			
g845	Cre16.g652650			
g846	Cre16.g652700			
g847	Cre16.g652750			
g848	Cre16.g652800			
g849	Cre16.g652850			
g850	Cre16.g652900			
g851	Cre16.g652950			
g852	Cre16.g653000			
g853	Cre16.g653050			
g854	Cre16.g653100			
g855	Cre16.g653150			
g856	Cre16.g653200			
g857	Cre16.g653258			
g858	Cre16.g653300			
g859	Cre16.g653338			
g860	Cre16.g653350			
g861	Cre16.g653400			
g862	Cre16.g653450			
g863	Cre16.g653500			
g864	Cre16.g653550			
g865	Cre16.g653601			
g866	Cre16.g653650			
g867	Cre16.g653700			
g869	Cre16.g653800			
g871	Cre16.g653850			
g872	Cre16.g653900			
g873	Cre16.g654150			
g874	Cre16.g654250			
g875	Cre16.g654300			
g876	Cre16.g654350			
g877	Cre16.g654400			
g878	Cre16.g654450			
g879	Cre16.g654500			
g880	Cre16.g654550			
g881	Cre16.g654600			
g882	Cre16.g654700			
g883	Cre16.g654800			
g885	Cre16.g654900			
g886	Cre16.g654950			
g888	Cre16.g654992			
g890	Cre16.g655050			
g891	Cre16.g655100			
g892	Cre16.g655150			
g893	Cre16.g655200			
g894	Cre16.g655250			
g895	Cre16.g655400			
g896	Cre16.g655430			
g897	Cre16.g655450			
g898	Cre16.g655500			
g900	Cre16.g655550			
g901	Cre16.g655600			
g902	Cre16.g655800			
g903	Cre16.g655750			
g904	Cre16.g655700			
g905	Cre16.g655900			
g906	Cre16.g655950			
g910	Cre16.g656000			
g911	Cre16.g656050			
g912	Cre16.g656100			
g913	Cre16.g656150			
g914	Cre16.g656200			
g915	Cre16.g656250			
g916	Cre16.g656300			
g918	Cre16.g656350			
g919	Cre16.g656400			
g920	Cre16.g656500			
g921	Cre16.g656551			
g922	Cre16.g656600			
g923	Cre16.g656650			
g924	Cre16.g656700			
g925	Cre16.g656750			
g926	Cre16.g656800			
g927	Cre16.g656851			
g928	Cre16.g656900			
g929	Cre16.g656950			
g930	Cre16.g657000			
g931	Cre16.g657050			
g932	Cre16.g657100			
g933	Cre16.g657150			
g934	Cre16.g657200			
g935	Cre16.g657250			
g936	Cre16.g657300			
g937	Cre16.g657350			
g938	Cre16.g657400			
g939	Cre16.g657450			
g940	Cre16.g657500			
g941	Cre16.g657550			
g942	Cre16.g657600			
g943	Cre16.g657650			
g944	Cre16.g657700			
g945	Cre16.g657750			
g946	Cre16.g657800			
g947	Cre16.g657850			
g948	Cre16.g657900			
g950	Cre16.g657950			
g952	Cre16.g801897			
g953	Cre16.g801898			
g954	Cre04.g217908			
g955	Cre16.g801900			
g956	Cre16.g658000			
g957	Cre16.g658075			
g958	Cre16.g801904			
g959	Cre16.g658200			
g961	Cre16.g658300			
g962	Cre16.g658350			
g963	Cre16.g658400			
g965	Cre16.g801906			
g966	Cre16.g658600			
g967	Cre16.g658650			
g968	Cre16.g658700			
g969	Cre16.g658750			
g970	Cre16.g658800			
g971	Cre16.g658850			
g972	Cre16.g801909			
g974	Cre16.g658950			
g975	Cre16.g659000			
g977	Cre16.g659050			
g978	Cre16.g659100			
g979	Cre16.g659150			
g980	Cre16.g659200			
g981	Cre16.g659250			
g982	Cre16.g659350			
g983	Cre16.g659400			
g984	Cre16.g659500			
g985	Cre16.g659600			
g986	Cre16.g659650			
g989	Cre16.g659700			
g990	Cre16.g659750			
g991	Cre16.g659800			
g992	Cre16.g659850			
g993	Cre16.g659900			
g994	Cre16.g659950			
g995	Cre16.g660000			
g996	Cre16.g660024			
g997	Cre16.g660050			
g998	Cre16.g660100			
g999	Cre16.g801914			
g1000	Cre16.g660225			
g1001	Cre16.g660300			
g1002	Cre17.g802055			
g1003	Cre16.g660390			
g1004	Cre16.g660350			
g1007	Cre16.g660601			
g1011	Cre16.g660750			
g1012	Cre16.g660800			
g1013	Cre10.g420000			
g1014	Cre16.g660850			
g1015	Cre16.g660900			
g1016	Cre16.g660951			
g1017	Cre16.g661100			
g1018	Cre16.g661150			
g1019	Cre16.g661200			
g1020	Cre16.g661250			
g1022	Cre16.g661350			
g1023	Cre16.g661400			
g1025	Cre16.g661500			
g1026	Cre16.g661550			
g1027	Cre16.g661588			
g1028	Cre16.g661650			
g1029	Cre16.g661700			
g1031	Cre16.g661800			
g1032	Cre16.g661750			
g1033	Cre16.g661900			
g1034	Cre16.g661950			
g1035	Cre16.g662000			
g1036	Cre16.g662100			
g1037	Cre16.g662150			
g1038	Cre16.g662200			
g1039	Cre16.g662250			
g1040	Cre16.g662300			
g1042	Cre16.g662450			
g1043	Cre16.g662500			
g1044	Cre16.g662550			
g1045	Cre16.g662600			
g1046	Cre16.g662650			
g1047	Cre16.g801920			
g1048	Cre16.g662750			
g1049	Cre16.g662800			
g1050	Cre16.g662902			
g1051	Cre16.g662950			
g1052	Cre16.g663000			
g1053	Cre16.g663050			
g1054	Cre16.g663100			
g1055	Cre16.g663150			
g1056	Cre16.g663200			
g1057	Cre16.g663250			
g1058	Cre16.g663350			
g1059	Cre16.g663400			
g1061	Cre16.g663500			
g1062	Cre16.g663600			
g1063	Cre16.g663650			
g1064	Cre16.g663700			
g1065	Cre16.g663750			
g1066	Cre16.g663800			
g1067	Cre16.g663850			
g1068	Cre16.g663876			
g1069	Cre16.g663900			
g1070	Cre16.g663950			
g1071	Cre16.g664000			
g1072	Cre16.g664050			
g1073	Cre16.g664100			
g1074	Cre16.g664150			
g1075	Cre16.g664200			
g1076	Cre16.g664250			
g1077	Cre16.g664301			
g1079	Cre16.g664350			
g1080	Cre16.g664400			
g1081	Cre16.g664450			
g1082	Cre16.g664500			
g1083	Cre16.g664550			
g1085	Cre16.g664600			
g1086	Cre16.g664700			
g1087	Cre16.g664750			
g1088	Cre16.g664801			
g1089	Cre16.g664850			
g1090	Cre16.g664950			
g1093	Cre16.g665000			
g1094	Cre16.g665050			
g1095	Cre16.g665100			
g1096	Cre16.g665200			
g1097	Cre16.g665250			
g1098	Cre16.g665300			
g1099	Cre16.g665364			
g1100	Cre16.g665400			
g1101	Cre16.g665450			
g1102	Cre16.g665500			
g1103	Cre16.g665550			
g1104	Cre16.g665600			
g1105	Cre16.g665650			
g1106	Cre16.g665700			
g1107	Cre16.g665750			
g1108	Cre16.g665800			
g1109	Cre16.g665850			
g1110	Cre16.g665950			
g1111	Cre16.g666000			
g1112	Cre16.g666050			
g1113	Cre16.g666100			
g1114	Cre16.g666150			
g1115	Cre16.g666200			
g1116	Cre16.g666250			
g1119	Cre16.g666300			
g1120	Cre16.g666334			
g1121	Cre16.g666400			
g1123	Cre16.g666500			
g1125	Cre16.g666550			
g1126	Cre16.g666576			
g1149	Cre14.g612700			
g1150	Cre14.g612750			
g1151	Cre14.g612800			
g1152	Cre14.g612850			
g1153	Cre14.g612950			
g1154	Cre14.g613000			
g1155	Cre14.g613050			
g1157	Cre14.g613134			
g1158	Cre14.g613150			
g1159	Cre14.g613200			
g1160	Cre14.g613250			
g1162	Cre14.g613400			
g1163	Cre14.g613350			
g1167	Cre14.g613300			
g1171	Cre05.g237250			
g1172	Cre14.g613450			
g1173	Cre14.g613501			
g1174	Cre14.g613550			
g1176	Cre14.g613700			
g1177	Cre14.g613750			
g1184	Cre05.g248500			
g1185	Cre05.g248401			
g1187	Cre05.g248300			
g1188	Cre05.g248250			
g1192	Cre05.g248200			
g1193	Cre05.g248150			
g1194	Cre05.g248100			
g1195	Cre05.g248050			
g1196	Cre05.g248000			
g1197	Cre05.g247950			
g1198	Cre05.g247900			
g1200	Cre05.g247850			
g1201	Cre05.g247851			
g1203	Cre05.g247650			
g1204	Cre05.g247600			
g1205	Cre05.g247550			
g1206	Cre05.g247500			
g1207	Cre05.g247450			
g1212	Cre05.g247300			
g1213	Cre05.g247250			
g1219	Cre05.g246950			
g1220	Cre05.g247000			
g1221	Cre05.g247050			
g1222	Cre05.g247100			
g1223	Cre05.g247150			
g1224	Cre05.g247200			
g1225	Cre05.g246900			
g1226	Cre05.g246850			
g1227	Cre05.g246800			
g1228	Cre05.g246750			
g1234	Cre05.g246753			
g1235	Cre05.g246650			
g1236	Cre05.g246550			
g1237	Cre05.g246551			
g1238	Cre05.g246552			
g1239	Cre05.g246400			
g1240	Cre05.g246377			
g1241	Cre05.g246300			
g1243	Cre08.g369850			
g1246	Cre05.g246250			
g1247	Cre05.g246200			
g1250	Cre05.g246100			
g1251	Cre05.g246050			
g1252	Cre05.g246000			
g1253	Cre05.g245950			
g1254	Cre05.g245900			
g1256	Cre05.g245701			
g1257	Cre05.g245550			
g1261	Cre05.g245800			
g1262	Cre05.g245450			
g1263	Cre05.g245451			
g1264	Cre05.g245350			
g1265	Cre05.g245351			
g1267	Cre05.g245150			
g1268	Cre05.g245100			
g1269	Cre05.g800522			
g1270	Cre05.g245102			
g1271	Cre05.g244950			
g1272	Cre05.g244900			
g1273	Cre05.g244850			
g1274	Cre05.g244800			
g1275	Cre05.g244750			
g1276	Cre05.g244700			
g1277	Cre05.g244500			
g1278	Cre05.g244450			
g1279	Cre05.g244400			
g1280	Cre05.g244350			
g1281	Cre05.g244300			
g1282	Cre05.g244250			
g1283	Cre05.g244236			
g1284	Cre05.g244200			
g1285	Cre05.g244100			
g1286	Cre05.g244050			
g1287	Cre05.g244000			
g1288	Cre05.g243950			
g1289	Cre05.g243900			
g1291	Cre05.g243800			
g1292	Cre05.g243801			
g1293	Cre05.g243802			
g1294	Cre05.g243700			
g1298	Cre04.g222600			
g1299	Cre05.g243450			
g1300	Cre05.g243451			
g1302	Cre05.g800515			
g1303	Cre05.g243452			
g1304	Cre05.g800514			
g1306	Cre05.g242858			
g1308	Cre05.g800513			
g1309	Cre05.g243354			
g1313	Cre05.g800511			
g1314	Cre05.g800510			
g1315	Cre05.g243150			
g1317	Cre05.g243050			
g1318	Cre05.g243000			
g1319	Cre05.g242950			
g1320	Cre05.g242900			
g1322	Cre05.g242856			
g1324	Cre05.g242650			
g1325	Cre05.g242600			
g1327	Cre05.g242550			
g1328	Cre05.g242500			
g1331	Cre05.g242400			
g1333	Cre14.g630787			
g1334	Cre05.g242350			
g1335	Cre05.g242300			
g1336	Cre05.g242200			
g1339	Cre05.g242178			
g1340	Cre05.g800507			
g1341	Cre05.g242100			
g1343	Cre05.g242000			
g1344	Cre05.g241950			
g1345	Cre05.g241900			
g1346	Cre05.g241850			
g1347	Cre05.g241750			
g1349	Cre05.g241650			
g1353	Cre14.g801592			
g1354	Cre13.g592551			
g1356	Cre13.g592550			
g1357	Cre13.g592500			
g1358	Cre13.g592450			
g1359	Cre13.g592400			
g1360	Cre13.g592350			
g1361	Cre13.g592300			
g1362	Cre13.g592250			
g1363	Cre13.g592200			
g1364	Cre13.g592150			
g1365	Cre13.g592100			
g1366	Cre13.g592050			
g1367	Cre13.g592000			
g1368	Cre13.g591951			
g1369	Cre13.g591900			
g1370	Cre13.g591851			
g1371	Cre13.g591800			
g1372	Cre13.g591750			
g1373	Cre13.g591700			
g1374	Cre13.g591650			
g1375	Cre13.g591600			
g1376	Cre13.g801572			
g1377	Cre13.g591501			
g1379	Cre13.g591450			
g1380	Cre16.g691754			
g1381	Cre16.g691600			
g1382	Cre10.g430600			
g1384	Cre06.g800723			
g1385	Cre13.g591400			
g1386	Cre13.g591350			
g1389	Cre13.g591300			
g1390	Cre13.g591250			
g1393	Cre13.g590850			
g1394	Cre13.g590900			
g1398	Cre13.g591000			
g1399	Cre13.g801569			
g1400	Cre13.g591100			
g1402	Cre13.g590750			
g1403	Cre13.g590700			
g1404	Cre13.g590650			
g1406	Cre13.g590600			
g1407	Cre13.g590550			
g1408	Cre13.g590500			
g1409	Cre13.g590400			
g1410	Cre13.g590350			
g1411	Cre13.g590300			
g1415	Cre13.g589800			
g1416	Cre13.g589750			
g1417	Cre13.g589700			
g1418	Cre13.g589650			
g1419	Cre13.g589600			
g1420	Cre13.g589500			
g1422	Cre13.g589450			
g1424	Cre13.g589400			
