	CREN	CINC	CSCH	JG05	MALA
49	Cre01.g002400		g15548	JG24_g11210	Mal24_g15283
50	Cre01.g002500	g17154	g15550	JG24_g11211	Mal24_g15279
51	Cre01.g002550	g17155	g15551	JG24_g11212	Mal24_g15278
52	Cre01.g002600		g15552	JG24_g11213	Mal24_g15277
53	Cre01.g002650	g17157			
54	Cre01.g002700	g17158	g15556	JG24_g11215	Mal24_g15274
55	Cre01.g002750	g17159	g15557	JG24_g11216	
56	Cre01.g002787	g17162			Mal24_g17248
57	Cre01.g002900			JG24_g11220	Mal24_g15270
58	Cre01.g002950	g17160	g15558	JG24_g11221	Mal24_g15269
59	Cre01.g003000	g17161	g15559		
60	Cre01.g003050	g17165		JG24_g11225	
61	Cre01.g003100	g17166	g15561	JG24_g11226	Mal24_g15263
62	Cre01.g003150	g17167	g15562	JG24_g11227	Mal24_g15262
63	Cre01.g003200	g17168	g15563	JG24_g11228	Mal24_g15261
64	Cre01.g003300	g13702		JG24_g18531	Mal24_g17671
65	Cre01.g003376	g17171	g15565	JG24_g11230	Mal24_g15259
66	Cre01.g003450	g17172	g15566	JG24_g11231	Mal24_g15258
67	Cre01.g003463	g17173	g15568	JG24_g11232	Mal24_g15250
68	Cre01.g003475	g17174		JG24_g18689	Mal24_g15249
69	Cre01.g003487	g17176	g13439	JG24_g11233	Mal24_g15248
70	Cre01.g003500	g17178	g13440	JG24_g11234	Mal24_g15247
71	Cre01.g003516		g13441		Mal24_g15246
72	Cre01.g003524	g13729	g13442	JG24_g18501	Mal24_g15245
73	Cre01.g003550	g13725	g13448	JG24_g18504	Mal24_g15238
74	Cre01.g003650	g15615	g907	JG24_g15087	Mal24_g9111
75	Cre01.g003700	g13724	g13449	JG24_g18505	Mal24_g15237
76	Cre01.g003751	g13723	g13450	JG24_g18506	
77	Cre01.g003800	g13722		JG24_g18507	Mal24_g17649
78	Cre01.g003850	g13721	g13451	JG24_g18508	Mal24_g17650
79	Cre01.g003950	g13720	g13452	JG24_g18509	Mal24_g17651
80	Cre01.g004000			JG24_g18510	Mal24_g17652
81	Cre01.g004124	g13718	g13453	JG24_g18511	Mal24_g17653
82	Cre01.g004124	g13718	g13453	JG24_g18511	Mal24_g17656
83	Cre01.g004157	g13716	g13456	JG24_g16912	
84	Cre01.g004157	g13716	g13456	JG24_g18516	
85	Cre01.g004200	g13715	g13457	JG24_g18517	Mal24_g17657
86	Cre01.g004250	g13714	g13458	JG24_g18518	Mal24_g17658
87	Cre01.g004300	g13713	g13459	JG24_g18519	Mal24_g17659
88	Cre01.g004350	g13712	g13460	JG24_g18520	Mal24_g17660
89	Cre01.g004450	g13710		JG24_g18523	Mal24_g17663
90	Cre01.g004500	g13709	g13466	JG24_g18524	Mal24_g17664
91	Cre01.g004550	g13708	g13467	JG24_g18525	Mal24_g17665
92	Cre01.g004600	g13707	g13468	JG24_g18526	Mal24_g17666
93	Cre01.g004651			JG24_g18527	Mal24_g17667
94	Cre01.g004700	g13705	g13470	JG24_g18528	Mal24_g17668
95	Cre01.g004750	g13704	g13471	JG24_g18529	Mal24_g17669
96	Cre01.g004750	g13704	g14658	JG24_g18529	Mal24_g17669
97	Cre01.g004800		g13472	JG24_g18530	Mal24_g17670
98	Cre01.g004850	g13701	g13473	JG24_g18532	Mal24_g17673
99	Cre01.g004950	g13699	g13474	JG24_g18534	Mal24_g17675
100	Cre01.g005001			JG24_g18535	
101	Cre01.g005050	g13697	g13476	JG24_g18536	Mal24_g17677
102	Cre01.g005100	g13696	g13477	JG24_g12677	Mal24_g17678
103	Cre01.g005100	g13696	g13477	JG24_g18537	Mal24_g17678
104	Cre01.g005150	g13695	g13478	JG24_g18538	Mal24_g17680
105	Cre01.g005200	g14066	g13479	JG24_g18539	Mal24_g17681
106	Cre01.g005300		g13480		
107	Cre01.g005400	g14062	g13483	JG24_g18543	Mal24_g17685
108	Cre01.g005450	g14061	g13484	JG24_g18544	Mal24_g17686
109	Cre01.g005500	g14060	g13485	JG24_g18545	Mal24_g17687
110	Cre01.g005550	g14059	g13486	JG24_g18546	Mal24_g17688
111	Cre01.g005600		g13487	JG24_g18547	Mal24_g17689
112	Cre01.g005651	g14058	g13488	JG24_g7837	Mal24_g17690
113	Cre01.g005701	g14057	g13489		Mal24_g17691
114	Cre01.g005750	g14055	g13491	JG24_g18549	
115	Cre01.g005813	g14054	g13492	JG24_g18551	Mal24_g17694
116	Cre01.g005850	g14053	g13493	JG24_g18552	Mal24_g17695
117	Cre01.g005900	g14052	g13495	JG24_g18556	Mal24_g17698
118	Cre01.g005950	g14051	g13496	JG24_g18557	Mal24_g17699
119	Cre01.g005950	g14051	g13496	JG24_g6524	Mal24_g17699
120	Cre01.g006000		g13498	JG24_g18559	Mal24_g17701
121	Cre01.g006050		g13501	JG24_g18560	Mal24_g17702
122	Cre01.g006100	g14049	g13502	JG24_g18561	Mal24_g17703
123	Cre01.g006150	g14048	g13503	JG24_g18562	Mal24_g17704
124	Cre01.g006800	g14007	g10246	JG24_g18579	Mal24_g4804
125	Cre01.g006850		g10245	JG24_g18580	Mal24_g4803
126	Cre01.g006950	g14011	g10242	JG24_g18584	Mal24_g4801
127	Cre01.g007000	g14012	g10240	JG24_g18585	Mal24_g4799
128	Cre01.g007050	g14013	g10239	JG24_g18586	Mal24_g4798
129	Cre01.g007051	g14014	g10237		Mal24_g4797
130	Cre01.g007100	g14015	g10236	JG24_g18588	Mal24_g4796
131	Cre01.g007150	g14016		JG24_g18589	Mal24_g4795
132	Cre01.g007200	g14018	g10233	JG24_g18591	Mal24_g4793
133	Cre01.g007251	g14019	g10231	JG24_g18592	Mal24_g4792
134	Cre01.g007300	g14020	g10230	JG24_g18593	Mal24_g4791
135	Cre01.g007350	g14021	g10229	JG24_g18594	Mal24_g4790
136	Cre01.g007400		g10228	JG24_g18595	
137	Cre01.g007450	g14023	g10227		
138	Cre01.g007500	g14024	g10224	JG24_g18599	Mal24_g4786
139	Cre01.g007550	g14025	g10223	JG24_g18600	Mal24_g4785
140	Cre01.g007600	g14027	g10222	JG24_g18601	Mal24_g4784
141	Cre01.g007651	g14028	g10221	JG24_g18602	
142	Cre01.g007700	g14029	g10220	JG24_g18604	Mal24_g4782
143	Cre01.g007737	g14030	g10219	JG24_g18603	Mal24_g4781
144	Cre01.g007774	g2034	g10218	JG24_g18608	Mal24_g4779
145	Cre01.g007811	g2035	g10217	JG24_g18609	Mal24_g4778
146	Cre01.g007850		g10216	JG24_g18610	Mal24_g4777
147	Cre01.g007901	g6099	g10215	JG24_g18611	Mal24_g4776
148	Cre01.g007950			JG24_g13739	
149	Cre01.g008000	g6100	g10214		Mal24_g4775
150	Cre01.g008051	g6101	g10213	JG24_g2302	Mal24_g4774
151	Cre01.g008150			JG24_g2300	
152	Cre01.g008200			JG24_g2301	
153	Cre01.g008250	g6104	g10209	JG24_g2298	Mal24_g4769
154	Cre01.g008300	g6105		JG24_g2297	Mal24_g4768
155	Cre01.g008350	g6106		JG24_g2296	
156	Cre01.g008450	g6108	g10205	JG24_g2294	Mal24_g4765
157	Cre01.g008500	g6109	g10204	JG24_g2293	Mal24_g4764
158	Cre01.g008550	g6110	g10203	JG24_g2292	Mal24_g4763
159	Cre01.g008600	g6111	g10202	JG24_g2291	Mal24_g4762
160	Cre01.g008700	g6113		JG24_g2289	Mal24_g4760
161	Cre01.g008750	g6114		JG24_g2288	
162	Cre01.g008800		g10199		
163	Cre01.g008850	g6119	g10198	JG24_g2286	Mal24_g4757
164	Cre01.g008850	g6119	g3542	JG24_g2286	Mal24_g4757
165	Cre01.g008891	g6120	g10197	JG24_g2285	Mal24_g4756
166	Cre01.g008900		g10196		Mal24_g4755
167	Cre01.g009000	g6121		JG24_g2282	
168	Cre01.g009101		g10195		
169	Cre01.g009150	g6123	g10194	JG24_g2279	Mal24_g4753
170	Cre01.g009200	g6124	g10193	JG24_g2278	Mal24_g4752
171	Cre01.g009250	g6125	g10192	JG24_g2277	Mal24_g4751
172	Cre01.g009300	g6126	g10191	JG24_g2276	Mal24_g4750
173	Cre01.g009325	g6129		JG24_g2274	
174	Cre01.g009350	g6130	g10186	JG24_g2272	Mal24_g4745
175	Cre01.g009400			JG24_g2271	Mal24_g4744
176	Cre01.g009450			JG24_g2270	Mal24_g4743
177	Cre01.g009500	g6132		JG24_g2269	Mal24_g4742
178	Cre01.g009550	g6133		JG24_g2268	Mal24_g4741
179	Cre01.g009700	g6136	g15583		
180	Cre01.g009765			JG24_g2263	
181	Cre01.g009800	g6138	g15581	JG24_g2262	Mal24_g4739
182	Cre01.g009850	g6139	g15580	JG24_g2261	Mal24_g4740
183	Cre01.g009900	g6140	g15589	JG24_g2260	Mal24_g4731
184	Cre01.g009950	g6142	g15588	JG24_g2259	Mal24_g4732
185	Cre01.g010000	g6143	g15587	JG24_g2258	Mal24_g4733
186	Cre01.g010050	g6144	g15586	JG24_g2257	
187	Cre01.g010100	g6145	g15585	JG24_g2256	Mal24_g4735
188	Cre01.g010150	g6146		JG24_g2255	
189	Cre01.g010201		g6302	JG24_g14238	Mal24_g16571
190	Cre01.g010201		g6302	JG24_g14238	Mal24_g1998
191	Cre01.g010250	g6150	g15593	JG24_g2253	Mal24_g4728
192	Cre01.g010300	g6151	g15594	JG24_g2252	Mal24_g4727
193	Cre01.g010350	g6156	g15597	JG24_g2195	Mal24_g4724
194	Cre01.g010400	g6157	g15598	JG24_g2196	Mal24_g4723
195	Cre01.g010450	g6158	g15599	JG24_g2197	Mal24_g4722
196	Cre01.g010500	g6159	g15600	JG24_g2198	Mal24_g4721
197	Cre01.g010550	g6160	g13371	JG24_g2199	Mal24_g4720
198	Cre01.g010650	g6161		JG24_g2200	Mal24_g4719
199	Cre01.g010700	g6162	g15605		Mal24_g4718
200	Cre01.g010750	g6163	g15606	JG24_g2201	Mal24_g4717
201	Cre01.g010800	g6165	g15607	JG24_g2202	Mal24_g4715
202	Cre01.g010816	g6166	g9891	JG24_g2203	Mal24_g4714
203	Cre01.g010832	g6167	g9892	JG24_g2204	Mal24_g4712
204	Cre01.g010848	g6170	g9894	JG24_g2206	Mal24_g4711
205	Cre01.g010864		g9895		Mal24_g4710
206	Cre01.g010880	g6172	g9896	JG24_g2208	Mal24_g4709
207	Cre01.g010900	g6173	g9897	JG24_g2209	Mal24_g4708
208	Cre01.g010950	g6174	g9898	JG24_g2217	Mal24_g4707
209	Cre01.g011000	g6176	g9899	JG24_g2218	Mal24_g4706
210	Cre01.g011100	g6178	g9900	JG24_g2221	Mal24_g4704
211	Cre01.g011150	g6179	g9901	JG24_g2223	Mal24_g4703
212	Cre01.g011200	g6180	g9902	JG24_g2146	Mal24_g4702
213	Cre01.g011250		g9903	JG24_g2147	Mal24_g4701
214	Cre01.g011300			JG24_g2148	Mal24_g4700
215	Cre01.g011350	g6182	g9905	JG24_g2149	Mal24_g4699
216	Cre01.g011400	g6183	g9906	JG24_g2151	Mal24_g4698
217	Cre01.g011450	g6184	g9907	JG24_g2152	Mal24_g4696
218	Cre01.g011500	g6185	g9908	JG24_g2153	Mal24_g4695
219	Cre01.g011550	g6186	g9909	JG24_g2155	Mal24_g4694
220	Cre01.g011600	g6187	g9911	JG24_g2157	Mal24_g4693
221	Cre01.g011630	g6188	g9912	JG24_g2158	
222	Cre01.g011660		g9913	JG24_g2161	Mal24_g4690
223	Cre01.g011660		g9941	JG24_g2161	Mal24_g4690
224	Cre01.g011750	g6190	g9914	JG24_g2162	Mal24_g4689
225	Cre01.g011800		g12408	JG24_g2165	
226	Cre01.g011800		g9915	JG24_g2165	
227	Cre01.g011850	g6191	g9916	JG24_g2164	Mal24_g4686
228	Cre01.g011850	g6191	g9916	JG24_g2164	Mal24_g4688
229	Cre01.g011850	g6191	g9916	JG24_g2166	Mal24_g4686
230	Cre01.g011850	g6191	g9916	JG24_g2166	Mal24_g4688
231	Cre01.g011850	g6194	g9916	JG24_g2164	Mal24_g4686
232	Cre01.g011850	g6194	g9916	JG24_g2164	Mal24_g4688
233	Cre01.g011850	g6194	g9916	JG24_g2166	Mal24_g4686
234	Cre01.g011850	g6194	g9916	JG24_g2166	Mal24_g4688
235	Cre01.g011901		g9917		Mal24_g4685
236	Cre01.g012050		g9920	JG24_g2170	Mal24_g4681
237	Cre01.g012100	g6200		JG24_g2171	Mal24_g4680
238	Cre01.g012126	g6201	g9921	JG24_g2172	Mal24_g4679
239	Cre01.g012150	g6202	g9922	JG24_g2173	Mal24_g4678
240	Cre01.g012200	g6203	g9923	JG24_g2174	Mal24_g4676
241	Cre01.g012300	g6205	g9924	JG24_g2175	Mal24_g4675
242	Cre01.g012350	g6206	g9925	JG24_g2176	Mal24_g4674
243	Cre01.g012400	g6207	g9926	JG24_g2178	Mal24_g4673
244	Cre01.g012450	g6208	g9927	JG24_g2179	Mal24_g4672
245	Cre01.g012500	g6209	g9928	JG24_g2180	Mal24_g4671
246	Cre01.g012550	g6210	g9929	JG24_g2181	Mal24_g4670
247	Cre01.g012600	g6212	g9930	JG24_g2182	Mal24_g4667
248	Cre01.g012650	g6213	g9931	JG24_g2183	Mal24_g4666
249	Cre01.g012700	g6214	g9932	JG24_g2184	Mal24_g4665
250	Cre01.g012750	g6215	g9933	JG24_g2185	Mal24_g4664
251	Cre01.g012800	g6216	g9934	JG24_g2186	Mal24_g4663
252	Cre01.g012850	g6217	g9935	JG24_g2187	Mal24_g4662
253	Cre01.g012900	g6218	g9936	JG24_g2188	Mal24_g4661
254	Cre01.g012950	g6219	g9937	JG24_g2189	
255	Cre01.g013000	g6220	g9939		Mal24_g4659
256	Cre01.g013050	g6221	g9940	JG24_g2249	Mal24_g4658
257	Cre01.g013100	g6223		JG24_g2248	Mal24_g4657
258	Cre01.g013150	g6224	g9942	JG24_g2247	Mal24_g4656
259	Cre01.g013200	g6225	g9943	JG24_g2245	Mal24_g4654
260	Cre01.g013250	g6226	g9944	JG24_g2244	Mal24_g4653
261	Cre01.g013300	g6227		JG24_g2243	Mal24_g4652
262	Cre01.g013350	g6228	g9947	JG24_g2241	Mal24_g4650
263	Cre01.g013400	g6229	g9948	JG24_g2240	Mal24_g4649
264	Cre01.g013450	g6230	g9949	JG24_g2239	Mal24_g4648
265	Cre01.g013500	g6231	g9950	JG24_g2238	Mal24_g4647
266	Cre01.g013550	g6232	g9951	JG24_g2237	Mal24_g4646
267	Cre01.g013600	g6233	g9952	JG24_g2236	Mal24_g4645
268	Cre01.g013650	g6234	g9953	JG24_g2235	Mal24_g4644
269	Cre01.g013700	g6235	g9954	JG24_g2234	Mal24_g4643
270	Cre01.g013750			JG24_g2233	Mal24_g4642
271	Cre01.g013769			JG24_g2232	Mal24_g4641
272	Cre01.g013800	g6237	g9956	JG24_g2231	Mal24_g4640
273	Cre01.g013801	g6238	g9957	JG24_g2230	Mal24_g4639
274	Cre01.g013850	g6239	g9958	JG24_g2229	Mal24_g4638
275	Cre01.g014000	g6241	g9960	JG24_g2227	Mal24_g4636
276	Cre01.g014050	g6242	g9961	JG24_g2226	Mal24_g4635
277	Cre01.g014050	g6242	g9961	JG24_g3797	Mal24_g4635
278	Cre01.g014100	g6243	g9962	JG24_g2225	Mal24_g4634
279	Cre01.g014150	g6244	g9963	JG24_g2224	Mal24_g4633
280	Cre01.g014200	g6246		JG24_g2144	Mal24_g4631
281	Cre01.g014250	g6247	g9965	JG24_g2143	Mal24_g4630
282	Cre01.g014300	g6249	g9967	JG24_g2140	Mal24_g4628
283	Cre01.g014350	g6250	g9968	JG24_g2139	Mal24_g4627
284	Cre01.g014400	g6251	g9969	JG24_g2138	Mal24_g4626
285	Cre01.g014450	g6252	g9970	JG24_g2137	Mal24_g4625
286	Cre01.g014500	g6253	g9971	JG24_g2135	Mal24_g4624
287	Cre01.g014650		g9975	JG24_g2132	Mal24_g4621
288	Cre01.g014700		g9976	JG24_g2131	Mal24_g4620
289	Cre01.g014800	g6262	g9980	JG24_g2129	Mal24_g4614
290	Cre01.g014850	g6263	g9981	JG24_g2128	Mal24_g4613
291	Cre01.g014900			JG24_g2127	Mal24_g4612
292	Cre01.g014950	g13870			Mal24_g4896
293	Cre01.g015000	g6265	g9983	JG24_g2126	Mal24_g4611
294	Cre01.g015050	g6266	g9984	JG24_g2125	Mal24_g4610
295	Cre01.g015103		g9986	JG24_g2124	Mal24_g4608
296	Cre01.g015150	g6264	g9982	JG24_g2123	Mal24_g4607
297	Cre01.g015150	g6264	g9987	JG24_g2123	Mal24_g4607
298	Cre01.g015150	g6269	g9982	JG24_g2123	Mal24_g4607
299	Cre01.g015150	g6269	g9987	JG24_g2123	Mal24_g4607
300	Cre01.g015200	g6267	g9988	JG24_g2122	Mal24_g4605
301	Cre01.g015200	g6270	g9988	JG24_g2122	Mal24_g4605
302	Cre01.g015200	g6271	g9988	JG24_g2122	Mal24_g4605
303	Cre01.g015250	g6272	g9989	JG24_g2121	Mal24_g4604
304	Cre01.g015250	g6272	g9989	JG24_g5964	Mal24_g4604
305	Cre01.g015300	g6273	g9990	JG24_g18582	
306	Cre01.g015350	g6274	g9991		
307	Cre01.g015400	g6275	g9993	JG24_g2117	Mal24_g4602
308	Cre01.g015451	g6277	g9995	JG24_g2116	Mal24_g4599
309	Cre01.g015500	g6278	g9996	JG24_g2115	Mal24_g4598
310	Cre01.g015500	g7652	g9996	JG24_g2115	Mal24_g4598
311	Cre01.g015550	g6279	g9997		Mal24_g4597
312	Cre01.g015600	g6280	g9998	JG24_g2111	Mal24_g4596
313	Cre01.g015650	g6281	g9999	JG24_g2113	Mal24_g4593
314	Cre01.g015700	g6283	g10002	JG24_g2107	
315	Cre01.g015750	g6284	g10003	JG24_g2106	Mal24_g4589
316	Cre01.g015850	g6285	g10004	JG24_g2104	Mal24_g4588
317	Cre01.g015950	g6286	g10005	JG24_g2102	Mal24_g4586
318	Cre01.g016001	g6288	g14391	JG24_g14563	Mal24_g4584
319	Cre01.g016001	g6288	g14391	JG24_g14563	Mal24_g6950
320	Cre01.g016001	g14497	g14391	JG24_g14563	Mal24_g4584
321	Cre01.g016001	g14497	g14391	JG24_g14563	Mal24_g6950
322	Cre01.g016001	g5089	g14391	JG24_g14563	Mal24_g4584
323	Cre01.g016001	g5089	g14391	JG24_g14563	Mal24_g6950
324	Cre01.g016050	g6289	g10008	JG24_g2099	Mal24_g4583
325	Cre01.g016100	g6290	g16323	JG24_g2101	Mal24_g4585
326	Cre01.g016150	g6291	g10011	JG24_g2097	Mal24_g4582
327	Cre01.g016300	g6293	g10014	JG24_g2095	Mal24_g4579
328	Cre01.g016350	g6294	g10015	JG24_g2094	Mal24_g4578
329	Cre01.g016400	g6295			
330	Cre01.g016450	g6296	g10017	JG24_g2092	Mal24_g4576
331	Cre01.g016500				Mal24_g10726
332	Cre01.g016528	g6298	g10019	JG24_g2090	Mal24_g4574
333	Cre01.g016556	g6299	g10020	JG24_g2089	Mal24_g4573
334	Cre01.g016570	g6300	g10021	JG24_g2087	Mal24_g4569
335	Cre01.g016600	g6301	g10025	JG24_g2086	Mal24_g4568
336	Cre01.g016700	g8230	g8771	JG24_g12284	Mal24_g4840
337	Cre01.g016800	g6303	g10026	JG24_g2084	Mal24_g4566
338	Cre01.g016850	g6304	g10027	JG24_g2083	Mal24_g4565
339	Cre01.g016900	g6305	g10028	JG24_g2082	Mal24_g4564
340	Cre01.g016950	g6306	g10029	JG24_g2081	Mal24_g4563
341	Cre01.g017050	g6307	g10030	JG24_g2079	Mal24_g4560
342	Cre01.g017100	g6308	g10031	JG24_g2078	Mal24_g4558
343	Cre01.g017150	g6309	g10032	JG24_g2077	
344	Cre01.g017200			JG24_g2076	Mal24_g4556
345	Cre01.g017250		g10033	JG24_g2075	Mal24_g4555
346	Cre01.g017300	g6310	g10034	JG24_g2074	Mal24_g4554
347	Cre01.g017350		g10035		Mal24_g4553
348	Cre01.g017400		g10036		Mal24_g4552
349	Cre01.g017450	g6312	g10037	JG24_g2072	Mal24_g4551
350	Cre01.g017500	g6313	g10038	JG24_g2071	Mal24_g4550
351	Cre01.g017550	g6319	g10039	JG24_g2070	
352	Cre01.g017600				Mal24_g4545
353	Cre01.g017650	g6317	g10040	JG24_g2069	Mal24_g4546
354	Cre01.g017900			JG24_g2068	Mal24_g5468
355	Cre01.g017951				Mal24_g4549
356	Cre01.g018000	g6320	g10042	JG24_g2065	Mal24_g4543
357	Cre01.g018050	g6321	g10043	JG24_g2064	Mal24_g4542
358	Cre01.g018075	g6322	g10044		Mal24_g4541
359	Cre01.g018100	g6323	g10045	JG24_g2063	Mal24_g4540
360	Cre01.g018150	g6324	g10046	JG24_g2062	Mal24_g4539
361	Cre01.g018200	g6326	g10048	JG24_g2060	Mal24_g4537
362	Cre01.g018350	g6327	g10049	JG24_g2059	Mal24_g4536
363	Cre01.g018400	g6328	g10050	JG24_g2058	Mal24_g4535
364	Cre01.g018450	g6329	g10051	JG24_g2057	Mal24_g4534
365	Cre01.g018500	g6330	g10052	JG24_g2056	
366	Cre01.g018550	g6331	g10053	JG24_g2055	Mal24_g4532
367	Cre01.g018600	g6332	g10054	JG24_g2054	Mal24_g4531
368	Cre01.g018650	g6333	g10055	JG24_g2052	Mal24_g4529
369	Cre01.g018700	g6334	g10057	JG24_g2051	Mal24_g4528
370	Cre01.g018750	g6335	g10058	JG24_g2050	Mal24_g4527
371	Cre01.g018800	g6336	g10059	JG24_g2049	Mal24_g4526
372	Cre01.g018850	g6337	g10060	JG24_g2048	Mal24_g4525
373	Cre01.g018900	g6338	g10061	JG24_g2047	Mal24_g4523
374	Cre01.g018950	g6340	g10062	JG24_g2046	Mal24_g4520
375	Cre01.g019000		g10063	JG24_g2045	Mal24_g4519
376	Cre01.g019051			JG24_g2044	
377	Cre01.g019100	g6343	g10065	JG24_g2042	Mal24_g4516
378	Cre01.g019150	g6344	g10066	JG24_g2041	Mal24_g4515
379	Cre01.g019200	g6345	g10067	JG24_g2040	Mal24_g4514
380	Cre01.g019250	g6346	g10068	JG24_g2039	Mal24_g7319
381	Cre01.g019300	g6347	g10069	JG24_g2038	Mal24_g4512
382	Cre01.g019400			JG24_g16102	Mal24_g2845
383	Cre01.g019450	g6348	g10070	JG24_g2037	Mal24_g4511
384	Cre01.g019500	g6349	g10071	JG24_g2036	Mal24_g4510
385	Cre01.g019550	g6350	g10073	JG24_g2035	Mal24_g4507
386	Cre01.g019600	g6352	g10074	JG24_g2034	Mal24_g4506
387	Cre01.g019650	g6353	g10075	JG24_g2033	Mal24_g4505
388	Cre01.g019700	g6354	g10076	JG24_g2032	Mal24_g4504
389	Cre01.g019750	g6355	g10077	JG24_g2031	Mal24_g4503
390	Cre01.g019850	g6356	g10078	JG24_g2030	Mal24_g4502
391	Cre01.g019900	g6365	g10080	JG24_g2028	Mal24_g4499
392	Cre01.g019950	g6364	g10081	JG24_g2027	Mal24_g4498
393	Cre01.g020000	g6363	g10082		
394	Cre01.g020050	g6362	g10083	JG24_g2024	Mal24_g4496
395	Cre01.g020100	g6361	g10084	JG24_g2023	
396	Cre01.g020182	g6360	g10085	JG24_g2022	
397	Cre01.g020223	g6359	g10086	JG24_g2021	Mal24_g4493
398	Cre01.g020264	g6358	g10087	JG24_g2020	Mal24_g4492
399	Cre01.g020305		g10089	JG24_g2014	Mal24_g4491
400	Cre01.g020350	g6370	g10090	JG24_g2015	Mal24_g4490
401	Cre01.g020400	g6369	g10091	JG24_g2016	Mal24_g4489
402	Cre01.g020450	g6368	g10092	JG24_g2017	Mal24_g4488
403	Cre01.g020500	g6367	g10093	JG24_g2018	Mal24_g4487
404	Cre01.g020650	g6373	g10105	JG24_g2008	Mal24_g4474
405	Cre01.g020750			JG24_g2891	
406	Cre01.g020800	g6374	g10104	JG24_g2007	Mal24_g4475
407	Cre01.g020850	g6375	g10103	JG24_g2005	Mal24_g4477
408	Cre01.g020887			JG24_g2004	Mal24_g4478
409	Cre01.g020918	g6376		JG24_g2003	Mal24_g4479
410	Cre01.g020950	g6377	g10101	JG24_g2002	Mal24_g4480
411	Cre01.g021000		g10100		Mal24_g4481
412	Cre01.g021050	g6379	g10098	JG24_g2000	Mal24_g4483
413	Cre01.g021100	g6380	g10096	JG24_g1999	Mal24_g4484
414	Cre01.g021150	g6381	g10095	JG24_g1998	Mal24_g4485
415	Cre01.g021200	g6382	g3312	JG24_g1997	Mal24_g4464
416	Cre01.g021251	g6383	g3313	JG24_g1996	Mal24_g4463
417	Cre01.g021300	g6384	g3314	JG24_g1995	Mal24_g4462
418	Cre01.g021350	g6385	g3315	JG24_g1994	Mal24_g4461
419	Cre01.g021400	g6386	g3316	JG24_g19467	Mal24_g4460
420	Cre01.g021400	g6386	g3316	JG24_g1993	Mal24_g4460
